variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
"duplicate_0,32",0 32,0,10.843742370605469,51212.67578125,0.034748710691928864,0.03603389486670494,1,0.031160149723291397,0.03202546015381813,0.0035885609686374664,0.0349699 0.0347067 0.0344821 0.0348361,0.0313295 0.0311238 0.0312746 0.0309128,0.034748710691928864,0.03603389486670494,0.0349699 0.0347067 0.0344821 0.0348361,0.014165718108415604,0.0144013287499547,0.0141224 0.0141358 0.0141673 0.0142374,0.04891442880034447,0.034748710691928864,0.03603389486670494
"duplicate_0,32",0 32,1000,6.058404445648193,427.6924743652344,0.037408698350191116,0.053672123700380325,1,0.021664965897798538,0.030532676726579666,0.015743732452392578,0.0493037 0.0274933 0.0337973 0.0390405,0.0282492 0.013187 0.0160552 0.0291685,0.037408698350191116,0.053672123700380325,0.0493037 0.0274933 0.0337973 0.0390405,0.009255724027752876,0.018179798498749733,0.0157667 0.00211392 0.00489138 0.0142509,0.04666442237794399,0.037408698350191116,0.053672123700380325
"duplicate_0,32",0 32,2000,5.754959583282471,315.7527770996094,0.039865925908088684,0.06537820398807526,1,0.018088605254888535,0.029433051124215126,0.02177732065320015,0.0553288 0.0234045 0.0272507 0.0534796,0.0271556 0.0100255 0.0106938 0.0244795,0.039865925908088684,0.06537820398807526,0.0553288 0.0234045 0.0272507 0.0534796,0.0086665078997612,0.02168227918446064,0.0172285 0.00126225 0.00353794 0.0126373,0.048532433807849884,0.039865925908088684,0.06537820398807526
"duplicate_0,32",0 32,3000,5.661563396453857,287.5979309082031,0.051750242710113525,0.1301640421152115,1,0.01666828989982605,0.02783849835395813,0.035081952810287476,0.0669225 0.0231832 0.0328015 0.0840937,0.0249116 0.0103658 0.0106572 0.0207386,0.051750242710113525,0.1301640421152115,0.0669225 0.0231832 0.0328015 0.0840937,0.008590654470026493,0.027300821617245674,0.017868 0.00113529 0.00282478 0.0125346,0.06034089718014002,0.051750242710113525,0.1301640421152115
"duplicate_0,32",0 32,4000,5.6690754890441895,289.7665100097656,0.0583847314119339,0.19119364023208618,1,0.015037573873996735,0.025465436279773712,0.043347157537937164,0.0750897 0.0222829 0.0315203 0.104646,0.0227439 0.00961973 0.00879215 0.0189945,0.0583847314119339,0.19119364023208618,0.0750897 0.0222829 0.0315203 0.104646,0.008083783090114594,0.029069093987345695,0.0180612 0.00123756 0.00271691 0.0103194,0.06646851450204849,0.0583847314119339,0.19119364023208618
"duplicate_0,32",0 32,5000,5.72737455368042,307.1617736816406,0.062175922095775604,0.19756869971752167,1,0.015326140448451042,0.0249126348644495,0.04684978164732456,0.0841348 0.0212665 0.0342501 0.109052,0.0217438 0.0106571 0.00952578 0.0193779,0.062175922095775604,0.19756869971752167,0.0841348 0.0212665 0.0342501 0.109052,0.0074875690042972565,0.029516426846385002,0.0190467 0.000677319 0.00192669 0.00829954,0.06966349110007286,0.062175922095775604,0.19756869971752167
"duplicate_0,32",0 32,6000,5.782741546630859,324.6480407714844,0.06626296043395996,0.244044691324234,1,0.014345994219183922,0.022979214787483215,0.05191696621477604,0.0911586 0.0218751 0.0321569 0.119861,0.0205767 0.00981225 0.00890011 0.018095,0.06626296043395996,0.244044691324234,0.0911586 0.0218751 0.0321569 0.119861,0.0076375314965844154,0.030619284138083458,0.0200196 0.000649698 0.00189417 0.00798661,0.07390049193054438,0.06626296043395996,0.244044691324234
"duplicate_0,32",0 32,7000,5.916440010070801,371.0882873535156,0.0701613798737526,0.26659151911735535,1,0.014128142967820168,0.02310539036989212,0.056033236905932426,0.0992736 0.0209016 0.0319943 0.128476,0.0195974 0.009821 0.0099829 0.0171112,0.0701613798737526,0.26659151911735535,0.0992736 0.0209016 0.0319943 0.128476,0.007571745198220015,0.03210202977061272,0.0210646 0.00079872 0.00184713 0.0065765,0.07773312507197261,0.0701613798737526,0.26659151911735535
"duplicate_0,32",0 32,8000,5.993870735168457,400.963623046875,0.07399386167526245,0.27093780040740967,1,0.014092734083533287,0.023281116038560867,0.059901127591729164,0.103043 0.0202998 0.0340972 0.138536,0.0195574 0.00976287 0.00894446 0.0181062,0.07399386167526245,0.27093780040740967,0.103043 0.0202998 0.0340972 0.138536,0.007440242916345596,0.03138810768723488,0.0209716 0.000692502 0.00204937 0.00604754,0.08143410459160805,0.07399386167526245,0.27093780040740967
"duplicate_0,32",0 32,9000,6.125548362731934,457.3955078125,0.07460713386535645,0.2922074794769287,1,0.013377866707742214,0.0239056795835495,0.06122926715761423,0.107201 0.0203455 0.0319081 0.138974,0.0189155 0.00950352 0.00915432 0.0159382,0.07460713386535645,0.2922074794769287,0.107201 0.0203455 0.0319081 0.138974,0.007392173632979393,0.031375594437122345,0.0209528 0.000527225 0.00165335 0.0064353,0.08199930749833584,0.07460713386535645,0.2922074794769287
"duplicate_0,32",0 32,10000,6.233293533325195,509.4305419921875,0.07642745226621628,0.2687470018863678,1,0.013194505125284195,0.02396814525127411,0.06323294714093208,0.113433 0.0218985 0.0345429 0.135836,0.0183533 0.0091914 0.00927541 0.0159579,0.07642745226621628,0.2687470018863678,0.113433 0.0218985 0.0345429 0.135836,0.007235062774270773,0.03119850717484951,0.0204345 0.000441877 0.0017766 0.00628726,0.08366251504048705,0.07642745226621628,0.2687470018863678
