variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
single_0,0,0,10.849838256835938,51525.8203125,0.03494098410010338,0.035663869231939316,1,0.03113839589059353,0.03163522481918335,0.0038025882095098495,0.0350802 0.0349606 0.034828 0.0348952,0.0311103 0.03103 0.0312515 0.0311618,0.03494098410010338,0.035663869231939316,0.0350802 0.0349606 0.034828 0.0348952,0.03494098410010338,0.03494098410010338,0.035663869231939316
single_0,0,1000,6.110103607177734,450.3853759765625,0.04234444722533226,0.08757848292589188,1,0.023490622639656067,0.031039725989103317,0.018853824585676193,0.0549295 0.0267564 0.0401686 0.0475233,0.0281336 0.0131338 0.0244596 0.0282355,0.04234444722533226,0.08757848292589188,0.0549295 0.0267564 0.0401686 0.0475233,0.04234444722533226,0.04234444722533226,0.08757848292589188
single_0,0,2000,5.815626621246338,335.5015869140625,0.049547091126441956,0.0985383540391922,1,0.018354792147874832,0.032950326800346375,0.031192298978567123,0.0678288 0.0225431 0.0490668 0.0587496,0.0272913 0.0105567 0.0137979 0.0217733,0.049547091126441956,0.0985383540391922,0.0678288 0.0225431 0.0490668 0.0587496,0.049547091126441956,0.049547091126441956,0.0985383540391922
single_0,0,3000,5.7404584884643555,311.2070617675781,0.057057030498981476,0.11830411851406097,1,0.016644353047013283,0.03276824206113815,0.04041267745196819,0.0794301 0.021237 0.0460276 0.0815334,0.0262316 0.0102467 0.0114737 0.0186254,0.057057030498981476,0.11830411851406097,0.0794301 0.021237 0.0460276 0.0815334,0.057057030498981476,0.057057030498981476,0.11830411851406097
single_0,0,4000,5.739927768707275,311.0419616699219,0.06634712219238281,0.18355858325958252,1,0.015113858506083488,0.03215924650430679,0.051233263686299324,0.090371 0.0196058 0.0453083 0.110103,0.024591 0.00971367 0.00996078 0.0161899,0.06634712219238281,0.18355858325958252,0.090371 0.0196058 0.0453083 0.110103,0.06634712219238281,0.06634712219238281,0.18355858325958252
single_0,0,5000,5.7838640213012695,325.0126037597656,0.0724785327911377,0.21730443835258484,1,0.014789040200412273,0.031021559610962868,0.05768949259072542,0.0996107 0.0208281 0.0488975 0.120578,0.0233545 0.0101366 0.00927212 0.0163929,0.0724785327911377,0.21730443835258484,0.0996107 0.0208281 0.0488975 0.120578,0.0724785327911377,0.0724785327911377,0.21730443835258484
single_0,0,6000,5.862847328186035,351.72418212890625,0.07406982779502869,0.2271278202533722,1,0.014673775061964989,0.03012162446975708,0.0593960527330637,0.104225 0.0196958 0.0474038 0.124955,0.0223556 0.00953619 0.00983902 0.0169643,0.07406982779502869,0.2271278202533722,0.104225 0.0196958 0.0474038 0.124955,0.07406982779502869,0.07406982779502869,0.2271278202533722
single_0,0,7000,5.966354846954346,390.0811767578125,0.0796392560005188,0.22909259796142578,1,0.01422695443034172,0.02925107441842556,0.06541230157017708,0.112769 0.0214649 0.0506224 0.1337,0.0212226 0.00968171 0.0105266 0.0154768,0.0796392560005188,0.22909259796142578,0.112769 0.0214649 0.0506224 0.1337,0.0796392560005188,0.0796392560005188,0.22909259796142578
single_0,0,8000,6.083488464355469,438.5564270019531,0.08053777366876602,0.23869797587394714,1,0.01336975023150444,0.028089985251426697,0.06716802343726158,0.11762 0.0202625 0.0510755 0.133193,0.0197826 0.00908199 0.00958976 0.0150246,0.08053777366876602,0.23869797587394714,0.11762 0.0202625 0.0510755 0.133193,0.08053777366876602,0.08053777366876602,0.23869797587394714
single_0,0,9000,6.177000522613525,481.54541015625,0.08255702257156372,0.2500873804092407,1,0.012689849361777306,0.027457529678940773,0.06986717320978642,0.120573 0.0199453 0.0499874 0.139723,0.0190093 0.00870259 0.0090025 0.014045,0.08255702257156372,0.2500873804092407,0.120573 0.0199453 0.0499874 0.139723,0.08255702257156372,0.08255702257156372,0.2500873804092407
single_0,0,10000,6.296212673187256,542.5133056640625,0.08377332240343094,0.2532556653022766,1,0.01277841068804264,0.0270367581397295,0.0709949117153883,0.128626 0.0207618 0.0524735 0.133232,0.0183342 0.00842407 0.00952293 0.0148324,0.08377332240343094,0.2532556653022766,0.128626 0.0207618 0.0524735 0.133232,0.08377332240343094,0.08377332240343094,0.2532556653022766
