variant,bos_positions,seed,step,grad_loss,pos0_qk_pressure_mean,pos0_qk_pressure_max_head,pos0_qk_pressure_by_layer,keypos0_qk_pressure_mean,keypos0_qk_pressure_max_head,keypos0_qk_pressure_by_layer,keypos1_qk_pressure_mean,keypos1_qk_pressure_max_head,keypos1_qk_pressure_by_layer,keypos2_qk_pressure_mean,keypos2_qk_pressure_max_head,keypos2_qk_pressure_by_layer,keypos3_qk_pressure_mean,keypos3_qk_pressure_max_head,keypos3_qk_pressure_by_layer,keypos4_qk_pressure_mean,keypos4_qk_pressure_max_head,keypos4_qk_pressure_by_layer,keypos5_qk_pressure_mean,keypos5_qk_pressure_max_head,keypos5_qk_pressure_by_layer,keypos6_qk_pressure_mean,keypos6_qk_pressure_max_head,keypos6_qk_pressure_by_layer,keypos7_qk_pressure_mean,keypos7_qk_pressure_max_head,keypos7_qk_pressure_by_layer,keypos8_qk_pressure_mean,keypos8_qk_pressure_max_head,keypos8_qk_pressure_by_layer,keypos9_qk_pressure_mean,keypos9_qk_pressure_max_head,keypos9_qk_pressure_by_layer,keypos10_qk_pressure_mean,keypos10_qk_pressure_max_head,keypos10_qk_pressure_by_layer,keypos11_qk_pressure_mean,keypos11_qk_pressure_max_head,keypos11_qk_pressure_by_layer,keypos12_qk_pressure_mean,keypos12_qk_pressure_max_head,keypos12_qk_pressure_by_layer,keypos13_qk_pressure_mean,keypos13_qk_pressure_max_head,keypos13_qk_pressure_by_layer,keypos14_qk_pressure_mean,keypos14_qk_pressure_max_head,keypos14_qk_pressure_by_layer,keypos15_qk_pressure_mean,keypos15_qk_pressure_max_head,keypos15_qk_pressure_by_layer,nonpos0_firstn_qk_pressure_mean,nonpos0_firstn_qk_pressure_max,pos0_minus_nonpos0_firstn_qk_pressure,bos_pos0_qk_pressure_mean,bos_pos0_qk_pressure_max_head,bos_pos0_qk_pressure_by_layer,bos_qk_pressure_sum_mean,bos_qk_pressure_max_position_mean,eval_loss,pos0_attention_mean,pos0_attention_max_head,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_attention_sum_mean,bos_pos2_qk_pressure_mean,bos_pos2_qk_pressure_max_head,bos_pos2_qk_pressure_by_layer,bos_pos2_attention_mean,bos_pos2_attention_max_head,bos_pos4_qk_pressure_mean,bos_pos4_qk_pressure_max_head,bos_pos4_qk_pressure_by_layer,bos_pos4_attention_mean,bos_pos4_attention_max_head,bos_pos8_qk_pressure_mean,bos_pos8_qk_pressure_max_head,bos_pos8_qk_pressure_by_layer,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos16_qk_pressure_mean,bos_pos16_qk_pressure_max_head,bos_pos16_qk_pressure_by_layer,bos_pos16_attention_mean,bos_pos16_attention_max_head,bos_pos32_qk_pressure_mean,bos_pos32_qk_pressure_max_head,bos_pos32_qk_pressure_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos64_qk_pressure_mean,bos_pos64_qk_pressure_max_head,bos_pos64_qk_pressure_by_layer,bos_pos64_attention_mean,bos_pos64_attention_max_head
single_0,0,0,10000,6.244710445404053,-3.1420391621850285e-08,1.1105290695923031e-06,-1.94757e-07 1.83275e-08 1.10662e-07 -5.99135e-08,-3.1420391621850285e-08,1.1105290695923031e-06,-1.94757e-07 1.83275e-08 1.10662e-07 -5.99135e-08,-8.379417693049618e-08,4.0395420342065336e-08,-2.51033e-07 -3.10227e-08 -6.51153e-09 -4.66096e-08,-2.6520064366764018e-08,9.468137562862466e-08,2.57953e-08 -7.83366e-08 -4.95574e-08 -3.98152e-09,5.625115040430728e-09,8.181480382063455e-08,2.02161e-08 2.28832e-08 -1.50579e-08 -5.54102e-09,-1.1342012662396428e-08,7.677441971054577e-08,1.28826e-08 -2.80673e-08 6.19531e-09 -3.63786e-08,7.102921806279028e-09,1.1870151439552501e-07,1.13124e-08 4.5621e-08 -2.12704e-08 -7.25131e-09,-6.292073528868514e-10,1.5474299175366468e-07,-1.67811e-08 2.42416e-08 -5.17039e-09 -4.80698e-09,-3.15795780636563e-08,2.9685407909596506e-08,-5.43555e-08 -4.91571e-08 -2.47725e-08 1.96677e-09,-7.622039888133259e-09,1.0163105201854705e-07,1.20251e-08 -7.20282e-08 4.80129e-08 -1.84979e-08,2.553015576722828e-10,9.566327463517155e-08,3.13594e-08 1.67856e-08 -4.87491e-08 1.62531e-09,1.8456814743217365e-08,1.7822819131652068e-07,8.42723e-08 2.40696e-08 -3.48828e-08 3.6819e-10,1.505797619927307e-08,1.2405340044097102e-07,4.22204e-09 3.80636e-08 2.93652e-08 -1.14189e-08,1.715703312754613e-08,1.4601070574826736e-07,3.90103e-08 -2.69069e-09 -1.02361e-08 4.25446e-08,8.76838335273078e-09,6.330159862955043e-08,2.16412e-08 -2.32599e-08 3.65956e-08 9.65577e-11,4.216182070138075e-09,1.1011151457296364e-07,-1.80987e-08 4.96482e-08 -1.29516e-08 -1.7332e-09,-3.248295499247433e-08,1.3554044642205554e-07,3.44773e-08 -7.58269e-08 -4.61365e-08 -4.24458e-08,-7.822020423967994e-09,1.8456814743217365e-08,-2.3598371197882292e-08,-3.1420391621850285e-08,1.1105290695923031e-06,-1.94757e-07 1.83275e-08 1.10662e-07 -5.99135e-08,-3.1420391621850285e-08,-3.1420391621850285e-08,6.244710445404053,0.06545029580593109,0.15359359979629517,0.06545029580593109,0.15359359979629517,0.06545029580593109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_2,2,0,10000,6.094344139099121,1.7548268615996676e-08,2.8790316264348803e-07,1.12784e-07 -2.92807e-08 9.47678e-09 -2.27871e-08,1.7548268615996676e-08,2.8790316264348803e-07,1.12784e-07 -2.92807e-08 9.47678e-09 -2.27871e-08,-7.684642255867402e-09,1.1221758455803865e-07,5.01714e-08 -5.57644e-08 2.1949e-08 -4.70945e-08,-3.2261891647067387e-07,2.298330947780869e-08,-1.29267e-06 1.01556e-08 6.2786e-09 -1.4235e-08,1.952335360044799e-08,2.136540899755346e-07,9.8099e-08 8.61497e-09 -1.69476e-08 -1.1673e-08,1.4439977213953625e-08,1.8597403084186226e-07,8.30555e-08 -1.48241e-09 -1.99793e-09 -2.18153e-08,1.739631727559754e-08,2.1129483229742618e-07,6.02694e-08 1.39848e-09 -9.44614e-10 8.86201e-09,-9.79507319698314e-09,1.7162507504053792e-07,5.23764e-08 -5.91731e-08 -3.10618e-08 -1.32177e-09,1.3105413643188513e-08,2.578703117706027e-07,7.32148e-08 -2.44541e-08 8.02088e-09 -4.35995e-09,-7.260342549386678e-09,2.957870606223878e-07,7.57442e-08 -8.82307e-08 3.49677e-09 -2.00516e-08,1.240127467383445e-08,1.3765196626991383e-07,6.74281e-08 3.72088e-08 -4.59256e-08 -9.10614e-09,3.006512372394354e-08,2.169389006212441e-07,7.13091e-08 8.51813e-08 -1.74101e-08 -1.88199e-08,-6.122351514648017e-09,1.628543628839907e-07,8.11109e-09 -3.18353e-08 3.00993e-08 -3.08645e-08,-2.664726883594426e-09,1.7669384533292032e-07,-7.62855e-09 -2.44257e-09 -1.45478e-08 1.39601e-08,-2.1384622073128412e-08,1.0041051012876778e-07,2.38039e-08 -9.77363e-08 4.83518e-09 -1.64412e-08,-2.692292611072844e-09,1.1426650559087648e-07,6.00389e-09 5.56986e-09 -2.46216e-08 2.27862e-09,-2.1133249816784883e-08,1.418131176933457e-07,1.06354e-08 -4.41604e-08 -4.68083e-08 -4.1997e-09,-1.96283171494116e-08,3.006512372394354e-08,3.717658576540828e-08,,,,-3.2261891647067387e-07,-3.2261891647067387e-07,6.094344139099121,0.02151034213602543,0.03500555455684662,,,0.020811526104807854,-3.2261891647067387e-07,2.298330947780869e-08,-1.29267e-06 1.01556e-08 6.2786e-09 -1.4235e-08,0.020811526104807854,0.12269335240125656,,,,,,,,,,,,,,,,,,,,,,,,,
single_4,4,0,10000,6.144552230834961,1.868308352470649e-08,2.4113560925798083e-07,2.48449e-08 9.93405e-08 -1.74787e-08 -3.19744e-08,1.868308352470649e-08,2.4113560925798083e-07,2.48449e-08 9.93405e-08 -1.74787e-08 -3.19744e-08,-1.8280086777622273e-08,5.937585001447587e-07,1.0714e-07 -7.18886e-08 -2.39395e-08 -8.44321e-08,2.7038254302169662e-08,3.813323985468742e-07,1.22055e-07 2.14183e-08 -1.1102e-08 -2.42188e-08,2.4826167788205566e-09,3.277086477737612e-07,3.71875e-08 4.48982e-09 -1.29531e-09 -3.04515e-08,1.1414913458906994e-08,3.7136042010388337e-06,3.50559e-08 4.95822e-08 -4.59021e-09 -3.43883e-08,-4.6358712424421356e-09,2.309068918293633e-07,3.91823e-08 -4.78073e-08 -1.24183e-08 2.49981e-09,-6.945694241977662e-09,1.889179515046635e-07,3.67367e-08 -5.11579e-08 -3.80994e-09 -9.55169e-09,-3.2991787080050017e-09,1.0810475714606582e-07,5.62592e-09 -1.57222e-08 -7.12964e-09 4.02918e-09,3.3483300576619968e-09,1.7962400988835725e-07,7.25739e-08 -5.86454e-08 1.09422e-08 -1.14773e-08,-1.0772698288974425e-09,2.0433651570783695e-07,2.32635e-08 3.3275e-08 -5.13698e-08 -9.47772e-09,4.777413131762387e-09,1.0685048579262002e-07,-2.93144e-08 4.0458e-08 -2.94621e-09 1.09123e-08,1.8465559747937732e-08,1.5051642776597873e-07,-7.49731e-09 7.68454e-08 4.76104e-09 -2.46835e-10,-6.528097618030415e-09,6.603389124393289e-08,1.21661e-08 -2.97383e-08 3.54441e-09 -1.20846e-08,-2.020255962520423e-08,6.225096171874611e-08,-7.78742e-10 -4.55146e-08 -3.03322e-08 -4.18467e-09,-1.4171392948014727e-08,1.7516293837616104e-07,3.32316e-08 -7.52833e-08 -5.0379e-08 3.57452e-08,-4.8462712953778464e-08,7.832402815211026e-08,-8.75418e-08 -3.16482e-08 -3.70946e-08 -3.75662e-08,-3.7383850977808684e-09,2.7038254302169662e-08,2.2421468622487358e-08,,,,1.1414913458906994e-08,1.1414913458906994e-08,6.144552230834961,0.02445516176521778,0.047787126153707504,,,0.01593799516558647,,,,,,1.1414913458906994e-08,3.7136042010388337e-06,3.50559e-08 4.95822e-08 -4.59021e-09 -3.43883e-08,0.01593799516558647,0.07737482339143753,,,,,,,,,,,,,,,,,,,,
single_8,8,0,10000,6.160914421081543,1.3451011859899609e-08,1.2416339814080857e-06,7.79075e-08 2.36975e-08 -1.31267e-08 -3.46743e-08,1.3451011859899609e-08,1.2416339814080857e-06,7.79075e-08 2.36975e-08 -1.31267e-08 -3.46743e-08,3.2096250102142676e-09,4.258546937307983e-07,1.00086e-07 -5.05725e-08 -2.8865e-08 -7.80963e-09,2.826368916686306e-09,2.427958918360673e-07,5.05699e-08 -1.03933e-08 -3.51215e-08 6.25034e-09,-4.4246308839035464e-09,2.751535816969408e-07,7.32838e-08 -5.94193e-08 5.54972e-09 -3.71128e-08,1.623814682716329e-08,1.3731809644923487e-07,6.1284e-08 1.14709e-08 -2.30462e-08 1.52439e-08,1.0830287777707781e-08,2.417204711946397e-07,6.72712e-08 -2.87717e-08 2.09304e-08 -1.61087e-08,1.9572445886240075e-09,8.663320727464452e-08,-1.00469e-08 1.7009e-08 -1.06329e-08 1.14997e-08,2.5567437056395192e-09,4.3346139477762335e-07,4.14919e-08 -1.00826e-08 -2.71775e-09 -1.84647e-08,-1.4770435541322513e-07,3.754176702841505e-07,-5.98897e-07 2.4205e-08 -1.64778e-09 -1.44776e-08,-2.5940924075484872e-08,1.1047222159277226e-07,-8.93126e-09 -5.79276e-08 -3.41593e-08 -2.74558e-09,-2.1398086857971066e-08,1.4827537597739138e-07,-3.51408e-08 -3.1048e-09 -3.88352e-08 -8.51154e-09,7.397980006373928e-09,1.8369631504810968e-07,-6.59779e-08 7.00855e-08 1.02939e-08 1.51905e-08,-2.7521641854377776e-08,6.507160321689298e-08,-2.9059e-08 -5.65215e-08 -9.49566e-09 -1.50104e-08,-6.522765438887745e-09,1.1037515434964007e-07,-3.50569e-08 3.53888e-08 -2.03308e-08 -6.09219e-09,-3.396613124095893e-08,8.414627217234738e-08,-1.55694e-08 -5.24585e-08 -4.08327e-08 -2.70038e-08,-5.4503807689343375e-08,1.520764811857589e-07,5.58766e-09 -1.78441e-07 5.0259e-09 -5.01879e-08,-1.8464396441449557e-08,1.623814682716329e-08,3.1915408301349166e-08,,,,-1.4770435541322513e-07,-1.4770435541322513e-07,6.160914421081543,0.024774976074695587,0.04220791906118393,,,0.017149724066257477,,,,,,,,,,,-1.4770435541322513e-07,3.754176702841505e-07,-5.98897e-07 2.4205e-08 -1.64778e-09 -1.44776e-08,0.017149724066257477,0.08612224459648132,,,,,,,,,,,,,,,
single_16,16,0,10000,6.176147937774658,-1.0226032465254775e-08,1.487485832285529e-07,2.22106e-08 -3.12053e-10 -1.12069e-08 -5.15958e-08,-1.0226032465254775e-08,1.487485832285529e-07,2.22106e-08 -3.12053e-10 -1.12069e-08 -5.15958e-08,1.1991145854040042e-08,6.147883482299221e-07,1.31686e-07 -2.79555e-08 -2.23836e-08 -3.33823e-08,2.3992335229650052e-08,3.894155327088811e-07,1.33067e-07 -6.08428e-09 -1.22309e-08 -1.87825e-08,-7.781355115810129e-09,3.6371895362208306e-07,5.01765e-08 -2.61897e-08 -3.62149e-08 -1.88973e-08,4.0349721786014925e-08,3.759161018024315e-07,1.11888e-07 6.02274e-08 -1.02428e-08 -4.7374e-10,1.3272781984596804e-08,2.579345448339154e-07,7.89416e-08 -3.44063e-08 2.06504e-09 6.4908e-09,1.9583752397522858e-09,2.3091833156740904e-07,7.31299e-09 7.78871e-09 -2.02633e-08 1.29951e-08,-5.63855628854526e-09,1.281567847399856e-07,-1.01412e-09 -2.55648e-08 2.27461e-08 -1.87214e-08,1.918727399186082e-08,2.96487968398651e-07,8.93379e-08 2.3726e-08 -4.53604e-08 9.04565e-09,1.3822889499692792e-09,1.359094738972999e-07,5.17441e-08 -3.28207e-08 -2.21341e-08 8.73988e-09,1.0936779482051406e-08,1.0543515571725948e-07,3.75346e-08 -2.30242e-09 1.05485e-08 -2.03355e-09,-9.989522098408088e-09,1.1605331451391976e-07,-1.8495e-08 1.07235e-08 -1.9094e-08 -1.30927e-08,-4.644261863973043e-09,7.410431379639704e-08,-1.71287e-08 4.71789e-09 -1.42478e-09 -4.74145e-09,-1.4288472627299598e-08,6.768096483256159e-08,-2.50705e-08 -2.77702e-08 -2.24349e-08 1.81216e-08,-6.101488025933577e-08,3.9887911640335005e-08,-1.37076e-07 -6.92254e-08 -1.11521e-08 -2.66059e-08,-1.9955562535756144e-08,3.6796912183945096e-08,-8.48918e-09 -2.87156e-08 -1.65866e-08 -2.60309e-08,-1.612721807949432e-11,4.0349721786014925e-08,-1.0209905247175281e-08,,,,-1.2725917031275458e-07,-1.2725917031275458e-07,6.176147937774658,0.025041747838258743,0.05576002225279808,,,0.011025233194231987,,,,,,,,,,,,,,,,-1.2725917031275458e-07,5.14215912517102e-07,-5.08244e-07 -1.01357e-09 -1.05638e-09 1.27744e-09,0.011025233194231987,0.07718400657176971,,,,,,,,,,
single_32,32,0,10000,6.201285362243652,5.877538100662605e-08,1.0107256684932509e-06,2.23035e-07 1.16109e-08 1.66053e-08 -1.61497e-08,5.877538100662605e-08,1.0107256684932509e-06,2.23035e-07 1.16109e-08 1.66053e-08 -1.61497e-08,7.712625205158474e-09,7.821150234121887e-07,1.88535e-07 -7.16302e-08 -4.11668e-08 -4.48871e-08,2.7745798547584855e-08,3.7233351690701966e-07,1.41556e-07 -6.63244e-09 -2.32495e-08 -6.91056e-10,1.738402133355521e-08,3.6441238648876606e-07,5.45027e-08 1.40925e-08 1.59362e-08 -1.49953e-08,4.695619892913783e-08,4.788976752934104e-07,1.70448e-07 8.47481e-09 8.19409e-09 7.07973e-10,5.003589986785073e-09,3.260248888636852e-07,5.99436e-08 -2.80756e-08 -5.04466e-09 -6.80904e-09,6.893309745237275e-08,3.8312532524287235e-07,1.67983e-07 1.11272e-07 2.60549e-09 -6.12845e-09,1.1574424085836199e-08,1.627518315672205e-07,6.64026e-08 -1.42329e-08 1.02273e-08 -1.60993e-08,1.4564465189437215e-08,1.5341591108608554e-07,2.83795e-08 7.29806e-08 -2.21518e-08 -2.09505e-08,2.7517627287920732e-08,2.2148354617002042e-07,7.59329e-08 5.24569e-08 6.12855e-09 -2.44478e-08,4.344362647401567e-09,7.084116049327349e-08,-1.19597e-08 2.85269e-08 2.63414e-10 5.46817e-10,-3.169724926976869e-09,6.594847690166716e-08,-7.65942e-09 6.57112e-10 1.45382e-08 -2.02148e-08,-1.7202319568809799e-09,1.2222402290262835e-07,-4.43598e-09 1.82919e-08 -7.98923e-09 -1.27476e-08,-1.7771739635463746e-08,1.2619148037629202e-07,-2.58362e-08 -3.71658e-08 -2.6381e-08 1.82961e-08,-6.549112896436782e-08,1.5351054116763407e-07,-5.22985e-08 -7.88319e-08 -1.04412e-07 -2.64218e-08,-1.5472913617031736e-08,1.0473117129095044e-07,-3.00015e-08 -3.60115e-08 4.31299e-10 3.69008e-09,8.540698104297916e-09,6.893309745237275e-08,5.023468290232813e-08,,,,7.685434866289143e-08,7.685434866289143e-08,6.201285362243652,0.023466411978006363,0.04868784546852112,,,0.006548905745148659,,,,,,,,,,,,,,,,,,,,,7.685434866289143e-08,1.20661434266367e-06,2.92551e-07 8.40055e-09 -2.41589e-09 8.88161e-09,0.006548905745148659,0.040740083903074265,,,,,
single_64,64,0,10000,6.097412109375,6.6037744161917544e-09,4.855709789808316e-07,4.61738e-08 6.17735e-09 7.92004e-09 -3.38561e-08,6.6037744161917544e-09,4.855709789808316e-07,4.61738e-08 6.17735e-09 7.92004e-09 -3.38561e-08,8.918947358438345e-09,5.7179931900464e-07,1.10964e-07 -3.17816e-08 -1.77746e-08 -2.57317e-08,2.7235886879140025e-09,2.298173882309129e-07,8.06687e-08 -3.99126e-08 -1.51571e-08 -1.47047e-08,-1.622659517863667e-08,2.5824894578363455e-07,4.21024e-08 -1.06733e-07 2.81105e-08 -2.83859e-08,3.139248505590331e-08,2.625479567086586e-07,1.15357e-07 1.96821e-08 3.31988e-09 -1.27889e-08,1.712456842994925e-08,3.231780283385888e-07,1.11004e-07 -1.44176e-08 -2.26637e-08 -5.42466e-09,-1.0440079911688827e-08,2.074637421856096e-07,3.68602e-08 -4.22579e-08 -1.95169e-08 -1.68457e-08,-1.7542433283779246e-08,1.2700242280061502e-07,4.24283e-10 -2.32492e-08 -2.3468e-08 -2.38768e-08,1.6149069637094726e-08,2.072304141620407e-07,3.06282e-08 2.28202e-08 1.20835e-08 -9.35643e-10,1.3585618852118841e-08,3.367914871432731e-07,6.52052e-08 -1.35172e-08 4.91904e-10 2.16258e-09,1.5116379259438872e-08,2.0337812145498901e-07,1.4455e-08 5.00888e-08 1.09115e-08 -1.49898e-08,-1.0224434632277735e-09,6.586395073782114e-08,4.18209e-08 -1.69919e-08 -2.10972e-08 -7.82159e-09,1.6743397779350744e-09,1.1839046720751867e-07,-1.7815e-08 1.05423e-08 9.6606e-09 4.30941e-09,1.3718745250912434e-08,1.6705352834378573e-07,2.18971e-08 9.42758e-09 3.7029e-08 -1.34786e-08,-4.044807155878516e-08,8.473890744653545e-08,-3.05001e-08 -7.88485e-08 -2.63175e-08 -2.61262e-08,6.960264808952843e-09,1.3728966052894975e-07,3.5061e-08 2.88412e-08 6.86181e-09 -4.2923e-08,2.7789589148360014e-09,3.139248505590331e-08,3.8248155013557526e-09,,,,-3.5317270885570906e-08,-3.5317270885570906e-08,6.097412109375,0.024179017171263695,0.04306265339255333,,,0.0057281129993498325,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5317270885570906e-08,2.6895133231619184e-08,-9.58092e-08 -4.16864e-08 -5.4013e-09 1.62781e-09,0.0057281129993498325,0.01905456744134426
no_bos,none,0,10000,6.1492133140563965,1.637812374610803e-08,3.9842211663199123e-07,4.98483e-08 5.09017e-08 -1.62767e-08 -1.89608e-08,1.637812374610803e-08,3.9842211663199123e-07,4.98483e-08 5.09017e-08 -1.62767e-08 -1.89608e-08,-4.0092635877897465e-09,7.972680577950086e-07,6.82678e-08 -4.41572e-08 -9.16885e-09 -3.09788e-08,-2.068074778094342e-08,4.0990272509588976e-07,1.7018e-08 -5.68867e-08 -2.41124e-08 -1.87418e-08,1.6577851980059677e-08,4.7664798330515623e-07,9.18627e-08 -2.41604e-09 7.89396e-09 -3.10292e-08,1.792263404354344e-08,2.9400399625956197e-07,9.01273e-08 8.12946e-09 -1.83494e-08 -8.21682e-09,1.2881622879490351e-08,2.3301622320559545e-07,2.43407e-08 4.72875e-08 -7.69057e-09 -1.24112e-08,2.1249293880032383e-08,2.2816924172275321e-07,7.03873e-08 3.19233e-08 -4.82243e-09 -1.24909e-08,-8.77140227117934e-09,3.0086260949246935e-07,3.84774e-08 -4.20845e-08 -1.01805e-08 -2.1298e-08,1.9403879392143608e-08,1.1441088076935557e-07,2.11988e-08 6.60125e-09 3.74025e-08 1.2413e-08,-1.1955657797102504e-08,7.170987004201379e-08,-3.78884e-08 1.73012e-08 -2.38758e-08 -3.35967e-09,8.57390958231008e-09,6.421922904564781e-08,3.01379e-08 2.16757e-08 -4.77886e-09 -1.27392e-08,-2.0215342289020555e-08,6.57181260521611e-08,-4.70167e-08 -2.65948e-08 1.76188e-08 -2.48687e-08,-1.1841982505700344e-08,9.878613127511926e-08,4.0046e-08 -7.36765e-08 -2.72096e-08 1.34722e-08,-1.709616626044408e-08,7.05927476474244e-08,-1.73229e-08 -3.64562e-08 -2.17996e-08 7.194e-09,-2.1484389378656488e-08,9.728717742518711e-08,-3.35683e-08 -1.10927e-08 -1.12875e-08 -2.99891e-08,-8.214714242171794e-09,2.0053450100476766e-07,5.72609e-08 8.19368e-09 -6.52804e-08 -3.3033e-08,-1.844031623695249e-09,2.1249293880032383e-08,1.822215536980328e-08,,,,0.0,nan,6.1492133140563965,0.02336626499891281,0.05070755258202553,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"duplicate_0,8",0 8,0,10000,6.1212615966796875,1.8292341508185928e-07,2.9021928185102297e-06,7.43194e-07 1.50929e-08 1.29494e-07 -1.56087e-07,1.8292341508185928e-07,2.9021928185102297e-06,7.43194e-07 1.50929e-08 1.29494e-07 -1.56087e-07,-6.65903883145802e-08,1.8501519605251815e-07,-6.49597e-08 -6.71685e-08 -6.36917e-08 -7.05417e-08,-1.6159241056357132e-08,1.9648652482828766e-07,3.60592e-08 -7.07121e-08 -2.36025e-08 -6.38152e-09,1.5116139451265553e-09,1.5652321394554747e-07,1.13811e-08 4.38643e-08 -2.79867e-08 -2.12122e-08,-7.207664243225054e-09,1.3373760054946615e-07,3.02418e-08 -1.53129e-08 -3.16438e-08 -1.21158e-08,1.848359865164184e-08,1.6317994777637068e-07,4.40295e-08 4.25437e-08 -7.83473e-09 -4.80399e-09,-2.122812858829093e-08,5.643801515020641e-08,-1.2938e-08 -5.94324e-08 -1.83823e-08 5.84027e-09,-2.4594497105567825e-08,1.1699606972115362e-07,-6.73429e-08 1.31964e-08 -8.38038e-09 -3.58511e-08,-1.5798457653204423e-08,8.536441100659431e-07,-6.71805e-08 2.93694e-09 -1.78925e-09 2.83891e-09,9.193333205814724e-09,1.2382467673432984e-07,-2.34342e-09 -8.83849e-09 4.74493e-08 5.05988e-10,-1.072784261424431e-08,8.751276681095987e-08,-5.35437e-08 3.28478e-08 9.07597e-09 -3.12915e-08,1.5992657864671855e-08,1.6883684850199643e-07,-2.14752e-08 6.86533e-08 3.44446e-08 -1.76521e-08,-2.0748805340531362e-08,1.8553549807620584e-07,-3.07127e-08 -4.23158e-08 -2.277e-08 1.28032e-08,-1.29008448368495e-09,1.6465706664803292e-07,-8.9794e-09 1.13811e-08 9.85608e-09 -1.74181e-08,-3.173426676994495e-08,1.286911270881319e-07,-9.93193e-08 -2.8073e-08 -2.15468e-08 2.2002e-08,-5.403837377571108e-08,1.4429926409320615e-07,-9.90789e-08 -3.7524e-08 -6.37302e-08 -1.58204e-08,-1.499576975187248e-08,1.848359865164184e-08,1.9791918483373174e-07,1.8292341508185928e-07,2.9021928185102297e-06,7.43194e-07 1.50929e-08 1.29494e-07 -1.56087e-07,1.6712495742865485e-07,1.8292341508185928e-07,6.1212615966796875,0.07228846848011017,0.18981125950813293,0.07228846848011017,0.18981125950813293,0.08400597423315048,,,,,,,,,,,-1.5798457653204423e-08,8.536441100659431e-07,-6.71805e-08 2.93694e-09 -1.78925e-09 2.83891e-09,0.011717505753040314,0.07268886268138885,,,,,,,,,,,,,,,
"duplicate_0,32",0 32,0,10000,6.189098358154297,2.1173987363454216e-07,1.2186204685349367e-06,8.00331e-07 2.33426e-08 6.78395e-08 -4.45534e-08,2.1173987363454216e-07,1.2186204685349367e-06,8.00331e-07 2.33426e-08 6.78395e-08 -4.45534e-08,-8.535187845382097e-08,9.000234513223404e-08,-2.29523e-07 -1.94065e-08 -3.76603e-08 -5.48179e-08,-4.423066002345877e-08,5.2423715146687755e-08,-4.55759e-08 -8.52325e-08 -3.75738e-08 -8.5405e-09,-7.848605321214563e-09,1.0592859212010808e-07,9.30833e-09 -1.24764e-08 -6.16092e-09 -2.20654e-08,-2.5745496401441414e-08,9.962410985053793e-08,-6.3537e-08 -2.02359e-08 -6.56171e-09 -1.26474e-08,1.4365704181784622e-08,8.5330121635252e-08,2.37529e-08 7.77506e-09 4.05112e-08 -1.45764e-08,-7.76956632364545e-09,1.0219237367437017e-07,-1.03896e-08 3.10814e-08 -5.35178e-08 1.74769e-09,-6.04628258571438e-09,4.790762631046164e-08,9.73443e-09 -3.27755e-08 1.24454e-08 -1.35894e-08,1.4424793803868852e-08,1.1042470760003198e-07,2.6679e-08 1.70366e-08 3.10508e-08 -1.70673e-08,-3.2686018336391953e-09,7.592252160293356e-08,-8.20207e-09 -1.08698e-08 1.17831e-08 -5.78561e-09,2.4759744476909873e-08,2.1769986346953374e-07,5.49884e-08 2.0458e-08 2.70798e-08 -3.4872e-09,-3.8193867624158884e-08,8.084390401563724e-08,-9.40608e-08 -4.056e-08 -3.32783e-08 1.51236e-08,1.2465825705021416e-08,1.333022225935565e-07,9.04589e-09 3.77385e-08 -1.19074e-08 1.49863e-08,-2.315776015393567e-08,6.176976796723466e-08,-1.99026e-08 -4.93552e-08 -1.07559e-08 -1.26174e-08,-2.550737576711981e-08,8.104574078515725e-08,-5.54128e-09 -1.81592e-08 -4.72413e-08 -3.10877e-08,-4.02274729083274e-08,1.2045697417306656e-07,-6.42158e-08 -4.15427e-08 -5.03618e-08 -4.78965e-09,-1.608876661525945e-08,2.4759744476909873e-08,2.2782864024980162e-07,2.1173987363454216e-07,1.2186204685349367e-06,8.00331e-07 2.33426e-08 6.78395e-08 -4.45534e-08,2.924846711493956e-07,2.1173987363454216e-07,6.189098358154297,0.07025337964296341,0.1831391304731369,0.07025337964296341,0.1831391304731369,0.0756021779961884,,,,,,,,,,,,,,,,,,,,,8.074479751485342e-08,1.0486165820111637e-06,3.12826e-07 5.59832e-09 -2.45106e-09 7.00576e-09,0.005348798353224993,0.01392142940312624,,,,,
