variant,bos_positions,seed,step,grad_loss,pos0_qk_pressure_mean,pos0_qk_pressure_max_head,pos0_qk_pressure_by_layer,keypos0_qk_pressure_mean,keypos0_qk_pressure_max_head,keypos0_qk_pressure_by_layer,keypos1_qk_pressure_mean,keypos1_qk_pressure_max_head,keypos1_qk_pressure_by_layer,keypos2_qk_pressure_mean,keypos2_qk_pressure_max_head,keypos2_qk_pressure_by_layer,keypos3_qk_pressure_mean,keypos3_qk_pressure_max_head,keypos3_qk_pressure_by_layer,keypos4_qk_pressure_mean,keypos4_qk_pressure_max_head,keypos4_qk_pressure_by_layer,keypos5_qk_pressure_mean,keypos5_qk_pressure_max_head,keypos5_qk_pressure_by_layer,keypos6_qk_pressure_mean,keypos6_qk_pressure_max_head,keypos6_qk_pressure_by_layer,keypos7_qk_pressure_mean,keypos7_qk_pressure_max_head,keypos7_qk_pressure_by_layer,keypos8_qk_pressure_mean,keypos8_qk_pressure_max_head,keypos8_qk_pressure_by_layer,keypos9_qk_pressure_mean,keypos9_qk_pressure_max_head,keypos9_qk_pressure_by_layer,keypos10_qk_pressure_mean,keypos10_qk_pressure_max_head,keypos10_qk_pressure_by_layer,keypos11_qk_pressure_mean,keypos11_qk_pressure_max_head,keypos11_qk_pressure_by_layer,keypos12_qk_pressure_mean,keypos12_qk_pressure_max_head,keypos12_qk_pressure_by_layer,keypos13_qk_pressure_mean,keypos13_qk_pressure_max_head,keypos13_qk_pressure_by_layer,keypos14_qk_pressure_mean,keypos14_qk_pressure_max_head,keypos14_qk_pressure_by_layer,keypos15_qk_pressure_mean,keypos15_qk_pressure_max_head,keypos15_qk_pressure_by_layer,nonpos0_firstn_qk_pressure_mean,nonpos0_firstn_qk_pressure_max,pos0_minus_nonpos0_firstn_qk_pressure,bos_pos2_qk_pressure_mean,bos_pos2_qk_pressure_max_head,bos_pos2_qk_pressure_by_layer,bos_qk_pressure_sum_mean,bos_qk_pressure_max_position_mean,eval_loss,pos0_attention_mean,pos0_attention_max_head,bos_pos2_attention_mean,bos_pos2_attention_max_head,bos_attention_sum_mean
single_2,2,0,0,10.851224899291992,9.735160233503848e-09,2.204110387538094e-07,2.11006e-08 4.84169e-09 6.00219e-09 6.99613e-09,9.735160233503848e-09,2.204110387538094e-07,2.11006e-08 4.84169e-09 6.00219e-09 6.99613e-09,-7.724500150629865e-09,7.946044888740289e-08,-2.47849e-08 9.77573e-09 -6.17799e-09 -9.71089e-09,-2.6931154195608542e-08,4.670621578384271e-08,-8.46839e-08 -1.24039e-08 -3.68301e-09 -6.95379e-09,-1.2084703016057574e-08,1.0290082741448714e-07,-2.75764e-08 -2.05182e-08 3.64521e-09 -3.88942e-09,3.327135011943483e-09,7.906982801841878e-08,2.70815e-08 -1.08257e-08 -1.40131e-09 -1.54597e-09,-2.770669027540862e-09,6.242022010383153e-08,1.52988e-08 -1.83092e-08 -7.23431e-09 -8.3798e-10,-4.3180756192917613e-10,9.527658306751619e-08,8.50781e-09 -4.68556e-09 -5.70003e-09 1.50547e-10,-1.771126245664334e-09,3.5093037809019734e-08,-7.15057e-09 1.36786e-08 -7.50031e-09 -6.11218e-09,5.7756968097066874e-09,9.704324810400067e-08,3.57052e-08 -4.0782e-09 -5.19098e-09 -3.33322e-09,1.5157175514701748e-09,6.48686224735684e-08,2.3252e-09 4.28068e-09 -7.96826e-10 2.53822e-10,2.3107338265049293e-10,1.8657150491208085e-08,4.53901e-10 -1.21501e-09 -6.66151e-10 2.35155e-09,1.1358668672301064e-08,8.437062604116363e-08,8.68706e-09 2.16337e-08 1.26378e-08 2.47613e-09,-2.7811020153478694e-10,3.2913423098079875e-08,-1.47439e-09 -1.33277e-09 3.99788e-10 1.29493e-09,8.19156742437599e-09,9.616636731379913e-08,2.18938e-08 4.45697e-09 6.33669e-09 7.87794e-11,2.5639703693514093e-09,5.420537974032413e-08,1.33997e-08 -2.41323e-09 1.32737e-09 -2.05792e-09,-8.60770121846599e-09,1.5204072667529545e-08,-3.10826e-08 3.94459e-09 -3.11128e-09 -4.18147e-09,-1.8423961597087886e-09,1.1358668672301064e-08,1.1577556393212636e-08,-2.6931154195608542e-08,4.670621578384271e-08,-8.46839e-08 -1.24039e-08 -3.68301e-09 -6.95379e-09,-2.6931154195608542e-08,-2.6931154195608542e-08,10.851224899291992,0.03497607633471489,0.036055609583854675,0.028704794123768806,0.029296500608325005,0.028704794123768806
single_2,2,0,1000,5.95151424407959,7.248503575141285e-09,8.497789849570836e-08,1.89331e-08 1.10141e-08 3.80327e-10 -1.33354e-09,7.248503575141285e-09,8.497789849570836e-08,1.89331e-08 1.10141e-08 3.80327e-10 -1.33354e-09,9.238085851848155e-10,2.6141702136328604e-08,-4.73315e-09 -4.32262e-09 2.03017e-09 1.07208e-08,-5.174372486038692e-09,2.5554335536526196e-08,-3.01201e-08 7.68782e-09 6.30625e-09 -4.57146e-09,1.804700167085116e-09,5.870712982414261e-08,1.80681e-08 4.31099e-09 -8.80876e-09 -6.35157e-09,5.43863309943049e-09,1.8200374540811026e-08,-8.92767e-09 1.38409e-08 1.20738e-08 4.76745e-09,4.621220295319972e-09,3.666936621016248e-08,1.24557e-08 1.21386e-08 -8.13083e-09 2.02141e-09,-3.935106462904514e-09,2.3869413112720395e-08,-6.80919e-09 -1.37294e-09 -1.85706e-09 -5.70123e-09,-6.951133002530696e-10,4.348459725633802e-08,-1.73326e-08 9.17676e-09 6.60889e-09 -1.23348e-09,-1.0918645987345599e-09,1.338187782806699e-08,-7.43424e-09 -2.14943e-09 4.80338e-09 4.12837e-10,1.9339760903847036e-09,1.5438182288107782e-08,4.4839e-09 2.59159e-09 2.36156e-09 -1.70115e-09,2.4897461869954896e-09,2.0037784764781463e-08,9.60672e-09 5.51604e-10 3.76282e-09 -3.96215e-09,2.362990247917196e-09,2.952128319577696e-08,-1.43418e-08 1.26696e-08 7.2012e-09 3.92292e-09,3.067084919372576e-10,1.805443261559958e-08,2.34979e-09 8.00192e-09 -7.24312e-09 -1.88176e-09,-1.7468717583568605e-09,2.3708663476895708e-08,-3.60352e-09 -1.21292e-09 -1.02301e-09 -1.14803e-09,2.141412380751717e-09,3.67053765160108e-08,-1.07226e-08 1.86388e-08 -1.27737e-09 1.92677e-09,-5.097793298602937e-09,3.201200371449886e-08,1.47402e-09 -1.45299e-08 -1.02217e-08 2.88635e-09,2.854715760077416e-10,5.43863309943049e-09,6.9630319991335435e-09,-5.174372486038692e-09,2.5554335536526196e-08,-3.01201e-08 7.68782e-09 6.30625e-09 -4.57146e-09,-5.174372486038692e-09,-5.174372486038692e-09,5.95151424407959,0.024132030084729195,0.03436512500047684,0.02110624685883522,0.06771343946456909,0.02110624685883522
single_2,2,0,2000,5.64256477355957,1.3320464731236825e-08,9.441186676895086e-08,5.07817e-08 -3.23269e-09 1.20092e-09 4.53197e-09,1.3320464731236825e-08,9.441186676895086e-08,5.07817e-08 -3.23269e-09 1.20092e-09 4.53197e-09,-7.849992655906135e-09,2.8918169192593268e-08,-2.85988e-08 -2.70888e-09 1.59267e-10 -2.5155e-10,-5.177330564265503e-08,8.068246870607254e-08,-2.00664e-07 -5.93919e-09 -4.66747e-10 -2.31969e-11,2.730064396772036e-09,6.210057534872249e-08,2.5245e-08 -1.91924e-09 -6.40892e-09 -5.9966e-09,6.677131292320837e-09,3.804504089544025e-08,4.23197e-09 7.60672e-09 1.40913e-08 7.78545e-10,1.6064534591464508e-08,4.413494991695188e-08,4.14374e-08 2.90651e-08 -6.74659e-09 5.02159e-10,-2.959556377746253e-09,1.8472636753585903e-08,-1.50134e-08 1.41305e-09 2.67989e-09 -9.17726e-10,1.1728645832320694e-09,4.2783071307894716e-08,1.93308e-09 3.79218e-09 -7.03106e-10 -3.30698e-10,-9.19065090698723e-09,2.8811500740744123e-08,-3.79529e-08 -5.85689e-09 7.11234e-09 -6.51179e-11,-2.0071548867406364e-09,2.8257749917770525e-08,-1.91518e-09 7.55884e-10 -3.12971e-09 -3.73962e-09,3.0460021172018514e-09,3.886813715325843e-08,1.08763e-08 9.54128e-09 -9.02004e-09 7.86499e-10,9.716309534724132e-09,6.760703286090575e-08,1.30549e-08 1.88313e-08 6.98551e-09 -6.47105e-12,3.2198055333054754e-09,6.334348512382348e-08,2.75013e-08 3.31081e-09 -1.40365e-08 -3.89637e-09,-8.033562259868177e-09,2.1191240762163943e-08,6.62544e-09 -2.13421e-08 -1.38384e-08 -3.57908e-09,3.1938156563882103e-09,3.308933926859936e-08,-6.33599e-09 1.67821e-08 4.80578e-09 -2.47663e-09,-6.360416193729179e-09,5.209988174215141e-08,-2.1097e-08 3.11624e-09 -6.44739e-09 -1.01349e-09,-2.823607414548235e-09,1.6064534591464508e-08,1.614407214578506e-08,-5.177330564265503e-08,8.068246870607254e-08,-2.00664e-07 -5.93919e-09 -4.66747e-10 -2.31969e-11,-5.177330564265503e-08,-5.177330564265503e-08,5.64256477355957,0.02234700694680214,0.03508523479104042,0.017276350408792496,0.056372981518507004,0.017276350408792496
single_2,2,0,3000,5.545168876647949,2.087634420888662e-08,1.7281975317473552e-07,7.46899e-08 -1.11561e-09 3.59229e-09 6.33883e-09,2.087634420888662e-08,1.7281975317473552e-07,7.46899e-08 -1.11561e-09 3.59229e-09 6.33883e-09,-1.156118045742005e-08,7.014199354671291e-08,-2.36841e-08 -4.36216e-09 -9.56671e-09 -8.63177e-09,-8.357604031061783e-08,1.5151728760542937e-08,-3.40868e-07 1.04723e-09 2.59662e-09 2.92023e-09,1.1421151802082363e-09,6.244022898727053e-08,3.35637e-08 -2.02138e-08 -2.94422e-09 -5.83726e-09,1.1258329379870702e-08,6.43522426457821e-08,1.6984e-08 1.54067e-08 1.36148e-08 -9.72246e-10,2.0520030119541843e-08,8.238132664928344e-08,4.32014e-08 3.35538e-08 1.14905e-09 4.17594e-09,1.0586909127141553e-10,2.9677849511244858e-08,7.363e-09 -1.91389e-08 8.42932e-09 3.77004e-09,3.429270201138479e-10,4.913426465691373e-08,8.96827e-09 6.55599e-09 -6.45791e-09 -7.69464e-09,-9.586576865672214e-09,3.709922324901527e-08,-2.2529e-08 -1.82662e-08 6.29918e-09 -3.8503e-09,6.352141035392833e-10,3.270519854936538e-08,6.01487e-09 5.67355e-09 -1.30862e-09 -7.83894e-09,3.0488098712311285e-09,7.602636031833754e-08,-6.69537e-09 2.59089e-08 -4.58797e-09 -2.43033e-09,2.627516870745694e-09,5.022815230404376e-08,-1.53945e-08 1.9938e-08 8.35412e-09 -2.38757e-09,-2.3401114379595356e-10,3.404564807851784e-08,3.38927e-09 -9.12321e-11 -1.09014e-08 6.66731e-09,-1.2719272746153365e-08,1.4280360005614057e-08,-1.08437e-08 -2.68026e-08 -8.27564e-09 -4.95519e-09,4.996881797225683e-10,3.9504232773879266e-08,-2.7096e-09 6.40926e-09 8.03483e-09 -9.73573e-09,-6.246122730146908e-09,5.846639083983973e-08,-7.45907e-09 -1.16183e-08 -4.5179e-09 -1.38924e-09,-5.582846962504107e-09,2.0520030119541843e-08,2.6459191171390728e-08,-8.357604031061783e-08,1.5151728760542937e-08,-3.40868e-07 1.04723e-09 2.59662e-09 2.92023e-09,-8.357604031061783e-08,-8.357604031061783e-08,5.545168876647949,0.02128615975379944,0.034095246344804764,0.016640717163681984,0.06341391801834106,0.016640717163681984
single_2,2,0,4000,5.559166431427002,2.4258120845388476e-08,2.477156613167608e-07,9.41516e-08 -1.14285e-08 5.89418e-09 8.41523e-09,2.4258120845388476e-08,2.477156613167608e-07,9.41516e-08 -1.14285e-08 5.89418e-09 8.41523e-09,-2.585385239228799e-09,1.1750303485769109e-07,2.34602e-08 -6.50048e-09 -8.11636e-09 -1.91849e-08,-1.306964634295582e-07,2.201505466814524e-08,-5.28881e-07 -2.33786e-09 3.98988e-09 4.44296e-09,1.6811625425106058e-09,6.436243893404026e-08,2.61085e-08 -8.62313e-09 -7.29824e-09 -3.46251e-09,7.043640337656143e-09,5.3076298911491904e-08,1.85221e-08 4.74519e-09 2.50632e-09 2.40092e-09,2.5582865603723803e-08,1.0863405464078824e-07,5.26617e-08 3.81932e-08 3.57453e-09 7.90206e-09,3.992866481894453e-09,8.236455073529214e-08,4.01039e-08 -3.63271e-08 9.32547e-09 2.86916e-09,1.876986566173855e-09,7.544382896185198e-08,1.41072e-08 7.69344e-09 -6.7388e-09 -7.55388e-09,-1.0317142695726034e-08,6.790713058535403e-08,5.83983e-09 -4.04787e-08 -2.30785e-10 -6.39895e-09,8.851052113456603e-10,4.049607582601311e-08,1.14107e-08 1.06313e-08 -1.53253e-08 -3.17621e-09,8.46912140417544e-09,7.408590363411349e-08,3.11469e-09 4.1497e-08 -1.08186e-08 8.34031e-11,6.1160316811026405e-09,5.4541338556646224e-08,-3.38213e-09 2.32889e-08 6.39003e-09 -1.8327e-09,-2.555770484136133e-09,4.311960921654645e-08,9.77784e-09 -1.55867e-08 -1.34544e-08 9.04015e-09,-6.825761733608715e-09,4.2422737323022375e-08,4.08988e-10 -1.33741e-08 -7.21429e-09 -7.1236e-09,1.0826575191913435e-09,4.454259894259849e-08,-9.59795e-09 1.98453e-08 8.74291e-09 -1.46596e-08,-6.34166497093247e-09,6.202716207326375e-08,6.15026e-09 -1.80016e-08 -9.13931e-09 -4.37605e-09,-6.839450080361094e-09,2.5582865603723803e-08,3.109757092574957e-08,-1.306964634295582e-07,2.201505466814524e-08,-5.28881e-07 -2.33786e-09 3.98988e-09 4.44296e-09,-1.306964634295582e-07,-1.306964634295582e-07,5.559166431427002,0.02165043354034424,0.034647226333618164,0.017547601833939552,0.07320099323987961,0.017547601833939552
single_2,2,0,5000,5.5871405601501465,2.1119278770243e-08,3.3846797009573493e-07,8.02971e-08 -1.55863e-09 4.90164e-09 8.37004e-10,2.1119278770243e-08,3.3846797009573493e-07,8.02971e-08 -1.55863e-09 4.90164e-09 8.37004e-10,-3.925667790838361e-09,1.6217353504544008e-07,4.00694e-08 -4.43173e-08 -5.76872e-10 -1.08779e-08,-1.5849083467855962e-07,3.09781995611047e-08,-6.54437e-07 1.83018e-08 4.62859e-09 -2.45717e-09,8.51849435434815e-09,1.2246201208654384e-07,4.87958e-08 -7.45682e-09 -3.29538e-09 -3.96967e-09,-9.622006524878657e-10,6.410619590724309e-08,2.15584e-08 -1.89878e-08 -4.23757e-09 -2.18187e-09,2.6543908404619287e-08,9.312475413025822e-08,4.83463e-08 4.66165e-08 6.59204e-09 4.62075e-09,5.034303640627513e-09,6.506542149509187e-08,2.62254e-08 -2.35567e-08 1.23115e-08 5.15702e-09,-3.0789371052719616e-10,6.60328325352566e-08,-1.5294e-09 3.88141e-09 6.01748e-10 -4.18533e-09,-1.3966320544511746e-08,1.0800103211749956e-07,8.90613e-09 -4.69823e-08 -7.5605e-09 -1.02287e-08,2.9721909378110922e-09,4.9653039013719535e-08,8.96921e-09 2.1969e-08 -1.57101e-08 -3.33931e-09,5.038095274301213e-09,7.626233156088347e-08,-1.79596e-09 4.38073e-08 -2.19561e-08 9.71527e-11,-1.1244394748644027e-08,4.055123170587649e-08,-2.82502e-08 -1.03455e-08 -6.49056e-09 1.08752e-10,-7.266979018538677e-09,5.262122471094699e-08,-2.58144e-08 -5.55926e-09 -1.0756e-08 1.30617e-08,-6.874087965513809e-09,4.119237928534858e-08,2.05514e-08 -2.78286e-08 -2.56137e-09 -1.76577e-08,2.5557214122784444e-09,8.393935502226668e-08,-1.61143e-08 3.42694e-08 -1.54346e-10 -7.77783e-09,-5.704800631889384e-09,8.683026209155287e-08,3.32182e-09 -1.49727e-08 -1.21471e-08 9.78766e-10,-1.0538697714501666e-08,2.6543908404619287e-08,3.1657976484744664e-08,-1.5849083467855962e-07,3.09781995611047e-08,-6.54437e-07 1.83018e-08 4.62859e-09 -2.45717e-09,-1.5849083467855962e-07,-1.5849083467855962e-07,5.5871405601501465,0.020654980093240738,0.0342424139380455,0.017368175089359283,0.08523035049438477,0.017368175089359283
single_2,2,0,6000,5.703989028930664,3.124995373582351e-08,4.5126040504328557e-07,1.55953e-07 -2.32605e-08 -4.63952e-09 -3.05321e-09,3.124995373582351e-08,4.5126040504328557e-07,1.55953e-07 -2.32605e-08 -4.63952e-09 -3.05321e-09,-1.2028755769222244e-09,1.9689009889134468e-07,6.06258e-08 -3.58631e-08 9.87797e-09 -3.94522e-08,-1.902166530953764e-07,1.010174486282267e-07,-8.02484e-07 4.41437e-08 3.41226e-09 -5.93812e-09,1.9434878595347982e-08,1.8044615046619583e-07,8.90553e-08 -9.40909e-09 -6.53821e-09 4.63147e-09,8.071065593640014e-09,1.51200666209661e-07,7.64832e-08 -3.66737e-08 -6.3945e-09 -1.13076e-09,3.523876657141045e-08,1.6401301650148525e-07,8.45367e-08 4.54467e-08 1.46579e-10 1.08252e-08,4.208497550450829e-09,1.5568942046684242e-07,7.44139e-08 -5.12632e-08 -3.26746e-09 -3.04921e-09,1.3008405019832026e-08,1.3346414107218152e-07,3.96564e-08 9.23545e-09 1.90485e-09 1.2369e-09,-1.1077458950126129e-08,2.0337935779934924e-07,4.55531e-08 -6.3453e-08 -4.78254e-09 -2.16274e-08,8.222530212265156e-09,8.638078696776574e-08,4.60353e-08 1.90664e-09 -1.77288e-08 2.67703e-09,1.4898379419037155e-08,1.7605333368919673e-07,4.02026e-08 4.56579e-08 -1.60066e-08 -1.02604e-08,-4.654805874082513e-09,4.246312457212298e-08,-1.7651e-08 -4.18729e-09 2.68148e-09 5.37564e-10,7.422059411510418e-09,8.739573331695283e-08,2.03486e-08 1.34122e-08 -1.74745e-08 1.34019e-08,1.3080967420364686e-09,6.771568195063082e-08,4.69583e-08 -3.27435e-08 7.73723e-09 -1.67196e-08,1.3548352661985064e-08,9.501671627276664e-08,1.34417e-08 4.55598e-08 7.10569e-09 -1.19138e-08,-8.750778768273904e-09,1.4248143997974694e-07,8.37238e-09 -1.1533e-08 -2.68315e-08 -5.01096e-09,-6.03610269915104e-09,3.523876657141045e-08,3.728605643497455e-08,-1.902166530953764e-07,1.010174486282267e-07,-8.02484e-07 4.41437e-08 3.41226e-09 -5.93812e-09,-1.902166530953764e-07,-1.902166530953764e-07,5.703989028930664,0.021351292729377747,0.033446405082941055,0.018605925142765045,0.09645359963178635,0.018605925142765045
single_2,2,0,7000,5.763545036315918,3.291243189096349e-08,3.7572672795249673e-07,1.37031e-07 -1.38526e-08 7.83522e-09 6.35607e-10,3.291243189096349e-08,3.7572672795249673e-07,1.37031e-07 -1.38526e-08 7.83522e-09 6.35607e-10,-8.23119528092775e-09,1.5139588072088372e-07,6.28633e-08 -6.00981e-08 2.94383e-09 -3.86338e-08,-1.1438359592830238e-07,1.325048231137771e-07,-4.70516e-07 2.00222e-08 2.62347e-09 -9.66397e-09,1.519754455614475e-08,1.3457564307373104e-07,7.56935e-08 -1.07823e-09 -8.43007e-09 -5.39506e-09,4.10003364592626e-09,4.5533308679068796e-08,4.3075e-08 -9.90405e-09 -8.86494e-09 -7.90591e-09,2.4314608992881404e-08,1.4618217392126098e-07,3.97149e-08 5.65937e-08 -6.31838e-09 7.26813e-09,6.821756493025077e-10,1.0061059896315783e-07,4.84163e-08 -4.27963e-08 -5.66233e-09 2.77106e-09,3.2451963338786527e-10,1.3947084198662196e-07,4.12493e-08 -2.53001e-08 -4.61963e-09 -1.00315e-08,-1.8488439224029207e-08,1.0381520354485474e-07,1.67474e-08 -6.99274e-08 3.56158e-09 -2.43353e-08,6.895651161187288e-09,6.795828966232875e-08,2.56454e-08 2.13704e-08 -2.70924e-08 7.65925e-09,9.169279557852406e-09,1.1790624654395288e-07,1.80915e-08 4.73445e-08 -1.04469e-08 -1.8312e-08,-1.0255169158313038e-08,9.850000282085603e-08,-1.86792e-08 -2.38488e-08 -9.85257e-10 2.49264e-09,4.1160523878147615e-09,1.0284672669058637e-07,-6.38765e-09 1.50063e-08 -7.6233e-09 1.54689e-08,-1.3583716373943844e-08,5.436532646285741e-08,1.0299e-08 -4.71006e-08 -8.2538e-09 -9.27948e-09,6.2969638392473826e-09,1.170881773759902e-07,2.43728e-09 3.91709e-08 -1.00538e-08 -6.36651e-09,-1.055421972040449e-08,1.312656507934662e-07,8.45499e-09 -8.21372e-09 -3.84975e-08 -3.96065e-09,-6.959967084145073e-09,2.4314608992881404e-08,3.987239897510856e-08,-1.1438359592830238e-07,1.325048231137771e-07,-4.70516e-07 2.00222e-08 2.62347e-09 -9.66397e-09,-1.1438359592830238e-07,-1.1438359592830238e-07,5.763545036315918,0.020740486681461334,0.03368241339921951,0.019215213134884834,0.10203682631254196,0.019215213134884834
single_2,2,0,8000,5.860771656036377,2.3783188751735906e-08,4.1490500279905973e-07,1.19307e-07 -2.29427e-08 7.35748e-09 -8.58857e-09,2.3783188751735906e-08,4.1490500279905973e-07,1.19307e-07 -2.29427e-08 7.35748e-09 -8.58857e-09,-1.4902411749062594e-08,1.2227845047618757e-07,1.56416e-08 -5.2879e-08 7.0593e-09 -2.94315e-08,-1.902391062458264e-07,7.552674219368782e-08,-7.58746e-07 -1.37952e-09 6.31385e-09 -7.14503e-09,1.7722181056001318e-08,1.697359124364084e-07,9.05465e-08 4.83963e-09 -8.83066e-09 -1.56667e-08,1.6536297886560192e-09,1.2953324812770006e-07,4.52276e-08 -1.11561e-08 -1.06058e-08 -1.68512e-08,2.108456875760112e-08,1.9419978514179093e-07,5.2007e-08 3.93047e-08 -1.36888e-08 6.71532e-09,-2.748357097459575e-10,1.4975054796195764e-07,7.65558e-08 -7.76373e-08 -6.74586e-09 6.72794e-09,2.927886155745796e-09,1.548321790778573e-07,2.99805e-08 -6.37782e-09 1.31568e-09 -1.32068e-08,-2.1626497925808508e-08,1.9530678230239573e-07,4.18921e-08 -9.43595e-08 1.27237e-10 -3.41658e-08,1.0503402592121347e-08,1.0109011583381289e-07,3.12756e-08 3.45071e-08 -1.98265e-08 -3.9427e-09,1.1863384052901438e-08,2.1341539024888334e-07,3.71915e-08 4.89209e-08 -2.21791e-08 -1.64798e-08,-6.847982625401983e-09,9.439393977572763e-08,-2.67942e-08 1.18303e-08 9.80934e-09 -2.22374e-08,3.1246827347786166e-09,1.008162300308868e-07,-6.18244e-09 1.05134e-08 -1.09779e-08 1.91457e-08,-1.1666080546035573e-08,1.0028919916749146e-07,2.55482e-08 -6.22266e-08 1.49482e-09 -1.14807e-08,7.302392468488961e-09,1.0604794908886106e-07,1.36096e-08 3.44073e-08 -1.29241e-08 -5.88319e-09,-1.950380656978723e-08,1.9110861160243076e-07,-2.39566e-09 -1.65632e-08 -5.25379e-08 -6.51848e-09,-1.2591906251024908e-08,2.108456875760112e-08,3.637509500276082e-08,-1.902391062458264e-07,7.552674219368782e-08,-7.58746e-07 -1.37952e-09 6.31385e-09 -7.14503e-09,-1.902391062458264e-07,-1.902391062458264e-07,5.860771656036377,0.021376527845859528,0.034872617572546005,0.01920352503657341,0.11056221276521683,0.01920352503657341
single_2,2,0,9000,6.023728847503662,2.665653475730778e-08,2.8679733077296987e-07,1.40963e-07 -2.06221e-08 5.46422e-09 -1.9179e-08,2.665653475730778e-08,2.8679733077296987e-07,1.40963e-07 -2.06221e-08 5.46422e-09 -1.9179e-08,-8.726628308863837e-09,1.7876772062663804e-07,5.66823e-08 -7.93572e-08 2.41295e-08 -3.63611e-08,-1.9335548984145134e-07,4.8032262611741317e-08,-7.70369e-07 4.4387e-09 7.01453e-09 -1.4506e-08,1.7365557880566485e-08,1.4745013743322488e-07,9.08191e-08 3.64783e-09 -1.8909e-08 -6.09571e-09,5.494270371997345e-09,1.392173629710669e-07,4.51335e-08 -8.31356e-09 3.59488e-09 -1.84377e-08,1.1529478705085694e-08,2.1441751130168996e-07,1.77623e-08 1.83081e-08 4.23209e-09 5.81545e-09,-1.1691174250927361e-08,1.3731299475239211e-07,4.39362e-08 -7.56563e-08 -2.17097e-08 6.66511e-09,4.634924000157525e-09,3.0115737104097207e-07,6.45692e-08 -4.06486e-08 6.66332e-09 -1.20443e-08,-7.878774965774937e-09,2.400219329956599e-07,6.15547e-08 -7.32766e-08 3.02452e-09 -2.28177e-08,8.11224776242625e-09,7.085807141038458e-08,4.13812e-08 3.62016e-08 -3.76005e-08 -7.53324e-09,2.5581503138027983e-08,2.4443414758934523e-07,7.2083e-08 6.02477e-08 -7.04282e-09 -2.29618e-08,-7.77086572867347e-09,1.1139249522784667e-07,-2.49869e-08 -1.35305e-08 2.37441e-08 -1.63103e-08,-5.049528351008803e-09,1.2645681124467956e-07,-2.53747e-08 3.20907e-09 -1.49748e-08 1.69422e-08,-6.957318277045488e-09,1.0258662541673402e-07,4.05182e-08 -7.25316e-08 6.09786e-09 -1.91368e-09,-2.7088802312391635e-09,1.2012048955512e-07,6.45619e-09 2.04873e-08 -1.32901e-08 -2.44889e-08,-3.1183095217102164e-08,1.8616752583966445e-07,1.49362e-08 -6.17877e-08 -5.27975e-08 -2.50834e-08,-1.3506918220921686e-08,2.5581503138027983e-08,4.016345297822947e-08,-1.9335548984145134e-07,4.8032262611741317e-08,-7.70369e-07 4.4387e-09 7.01453e-09 -1.4506e-08,-1.9335548984145134e-07,-1.9335548984145134e-07,6.023728847503662,0.021758753806352615,0.03431243449449539,0.01988876983523369,0.11727669090032578,0.01988876983523369
