variant,bos_positions,n_seeds,seeds,eval_loss_mean,eval_loss_std,pos0_attention_mean_mean,pos0_attention_mean_std,bos_attention_sum_mean_mean,bos_attention_sum_mean_std,pos0_qk_pressure_mean_mean,pos0_qk_pressure_mean_std,nonpos0_firstn_qk_pressure_mean_mean,nonpos0_firstn_qk_pressure_mean_std,pos0_minus_nonpos0_firstn_qk_pressure_mean,pos0_minus_nonpos0_firstn_qk_pressure_std,bos_qk_pressure_max_position_mean_mean,bos_qk_pressure_max_position_mean_std,bos_qk_pressure_sum_mean_mean,bos_qk_pressure_sum_mean_std
single_0,0,3,0 1 2,6.222424507141113,0.03438252830627533,0.07565949857234955,0.00892601899848892,0.07565949857234955,0.00892601899848892,-5.848607524209608e-09,2.5782370417365727e-07,-5.676738338659486e-09,4.037917141554914e-09,-1.7186918555012087e-10,2.612449150386883e-07,-5.848607524209608e-09,2.5782370417365727e-07,-5.848607524209608e-09,2.5782370417365727e-07
single_2,2,3,0 1 2,6.14536190032959,0.046004816823482265,0.02136959694325924,0.0011478166626486786,0.021800445392727852,0.0008967297997242794,3.5186955571475664e-08,2.0260059324701785e-08,-1.3145628368565414e-08,7.400482634563217e-09,4.833258394004107e-08,2.0544090545821368e-08,-2.0698117471814234e-07,1.0894261763387661e-07,-2.0698117471814234e-07,1.0894261763387661e-07
single_4,4,3,0 1 2,6.117186387379964,0.024197531730859773,0.023748279238740604,0.0011620276757588867,0.01782362163066864,0.0017372882625983999,5.3310713473327574e-08,3.4345629441910806e-08,-4.3253365185809875e-09,1.8483466862047147e-09,5.7636049991908556e-08,3.567957178207737e-08,-4.4977895778212464e-08,9.63038381635132e-08,-4.4977895778212464e-08,9.63038381635132e-08
single_8,8,3,0 1 2,6.132196267445882,0.05089778721048057,0.024068675935268402,0.0011549098426141353,0.01619129969427983,0.0028593757732191458,2.9614743620361614e-09,9.261554869530714e-09,1.230189451541087e-09,2.218068986328296e-08,1.731284910495074e-09,2.8922043915964177e-08,3.905107763083985e-08,2.1588153037626862e-07,3.905107763083985e-08,2.1588153037626862e-07
single_16,16,3,0 1 2,6.138078053792317,0.032975896766493956,0.02459295280277729,0.000810026080029376,0.010806834635635218,0.0013375237354633018,4.223878284174513e-09,2.061723021734061e-08,9.413803070401627e-10,1.5058204816885982e-09,3.2824979771343497e-09,1.9115281590462902e-08,-2.4697089410589495e-08,1.536066612925978e-07,-2.4697089410589495e-08,1.536066612925978e-07
single_32,32,3,0 1 2,6.143412748972575,0.07073132732437733,0.024232894803086918,0.0008214963580402776,0.005845399418224891,0.0013931038574181431,2.2634681092389048e-08,3.1840682127450485e-08,-2.368736663606165e-09,9.465156637584236e-09,2.5003417755995212e-08,2.247916063515191e-08,4.51277024637875e-08,3.4278196730620134e-08,4.51277024637875e-08,3.4278196730620134e-08
single_64,64,3,0 1 2,6.124199390411377,0.02640313929527196,0.024522302051385243,0.000800296846369145,0.004823693384726842,0.0008323881067247646,6.978586597483627e-10,3.22735320097517e-08,2.375435137480508e-09,1.1418075960895085e-09,-1.6775764777321455e-09,3.329544614281035e-08,-2.1946066593632924e-08,1.163054163040962e-08,-2.1946066593632924e-08,1.163054163040962e-08
no_bos,none,3,0 1 2,6.181944529215495,0.030147339315325247,0.024345728879173596,0.0008922923692757531,0.0,0.0,-2.3709699240962816e-08,5.125735133764633e-08,-1.6277178419935962e-09,1.6543719258816427e-09,-2.208198139896922e-08,5.0190539516471164e-08,nan,0.0,0.0,0.0
"duplicate_0,8",0 8,3,0 1 2,6.105308850606282,0.03516652833368176,0.07558141400416692,0.004801802818116517,0.08731879573315382,0.005430009899361295,1.3129483041514808e-07,4.4793198777579084e-08,-1.3506274183012263e-08,3.29852213271506e-09,1.4480110459816033e-07,4.6357995797889974e-08,1.3129483041514808e-07,4.4793198777579084e-08,1.3267136086033324e-07,3.090090483817645e-08
"duplicate_0,32",0 32,3,0 1 2,6.162833531697591,0.024735916373621842,0.08122752855221431,0.010751408079548023,0.08819041168317199,0.012076254463426837,2.4618564490689704e-07,9.05733844173803e-08,-1.4776464121426772e-08,2.8138962797003893e-09,2.609621090283238e-07,8.776880762269923e-08,2.4618564490689704e-07,9.05733844173803e-08,3.0485377540874953e-07,7.564481883072321e-08
