condition,count,control_id,scale,mean_nll,ppl,token_count,num_windows,bos_attention_mean,bos_attention_max_layer,inserted_attention_mean,inserted_attention_max_layer,inserted_minus_bos_mean,ppl_ratio_vs_clean
clean,0,-1,0.0,2.763276528675108,15.851696490160974,196416,192,0.34526281741758186,0.5231066159904003,nan,nan,nan,1.0
bos_repeat_only,1,-1,0.0,2.769843088139459,15.956130107291,196416,192,0.18299203303953013,0.2677378514781594,0.18309166530768076,0.267615114338696,9.96313538053073e-05,1.0065881665848728
ordinary_repeat_only,1,-1,0.0,2.7584924483462396,15.77604181412192,196416,192,0.34465825992325944,0.5220827758312225,0.00197996497930338,0.009500943483241523,-0.34267829172313213,0.9952273451560208
selected_copy_bos,1,-1,4.0,2.7725376689733143,15.999183168587663,196416,192,0.02683690031214307,0.1224770921592911,0.33697968907654285,0.5301365250100692,0.31014279400308925,1.0093041573511223
random_copy_bos,1,0,4.0,2.7710625134838174,15.97559928493348,196416,192,0.18378660238037506,0.2662542437513669,0.18271541378150383,0.2697480898350477,-0.0010711896102293395,1.0078163744082163
bos_repeat_only,2,-1,0.0,2.780193066589216,16.122133292858717,196416,192,0.12575005910669765,0.18575237846622863,0.25169984344393015,0.3712064220259587,0.12594978604465723,1.017060432797562
ordinary_repeat_only,2,-1,0.0,2.755461403507097,15.728296319920098,196416,192,0.3441829401999712,0.5215124196062485,0.0031900250614853576,0.014239532048425948,-0.34099292134245235,0.992215333524871
selected_copy_bos,2,-1,4.0,2.7799138640611636,16.11763258082008,196416,192,0.01905772932029019,0.08352704967061679,0.36242817093928653,0.5436663894603649,0.3433704450726509,1.0167765065918446
random_copy_bos,2,0,4.0,2.781280477802852,16.13967421675932,196416,192,0.1270717571799954,0.18719327946503958,0.2504725717008114,0.36887460201978683,0.123400813434273,1.0181669972533913
bos_repeat_only,4,-1,0.0,2.8030284534801138,16.494524106313975,196416,192,0.0783553736594816,0.12393589224666357,0.31381735143562156,0.4951261014988025,0.23546198072532812,1.0405526068804054
ordinary_repeat_only,4,-1,0.0,2.7551470744411732,15.723353236147437,196416,192,0.34283688478171825,0.519754663730661,0.004925936790338407,0.019228525110520422,-0.33791094707945984,0.9919035004175611
selected_copy_bos,4,-1,4.0,2.8020695313136406,16.478714722718625,196416,192,0.012799659103620797,0.05238813526617984,0.3851046214501063,0.579422764480114,0.3723049641897281,1.0395552761779685
random_copy_bos,4,0,4.0,2.8037875745070413,16.50705020020134,196416,192,0.07842983848725756,0.12344888752947251,0.3138953497012456,0.49341702337066334,0.2354655129214128,1.0413428121366783
bos_repeat_only,8,-1,0.0,2.8518642551077815,17.320040736228794,196416,192,0.04563217586837709,0.07644085943078001,0.3659815328816573,0.6110195418198904,0.320349362368385,1.0926301009471895
ordinary_repeat_only,8,-1,0.0,2.757856466592271,15.766011729191868,196416,192,0.33883185125887394,0.5142548152556022,0.00941358482426343,0.028949016123078763,-0.32941826929648715,0.9945945999519806
selected_copy_bos,8,-1,4.0,2.850061321538215,17.288841986446982,196416,192,0.008200129785109311,0.032236627458284296,0.4097382506976525,0.6763267902036508,0.4015381249288718,1.0906619362273329
random_copy_bos,8,0,4.0,2.8527684763302124,17.335708967341855,196416,192,0.045829409500584006,0.07678477962811787,0.3656569899370273,0.6094509785374006,0.31982757709920406,1.0936185270833312
bos_repeat_only,16,-1,0.0,2.943238244378322,18.977199730303635,196416,192,0.025587878772057593,0.04428712200994293,0.41158842605849105,0.7081224458913008,0.38600054817895096,1.1971715293743252
ordinary_repeat_only,16,-1,0.0,2.7648124756973083,15.87606256389082,196416,192,0.29982837072263163,0.45579526262978715,0.04467019476578571,0.08974245786278819,-0.25515817586953443,1.0015371271929772
selected_copy_bos,16,-1,4.0,2.941411430729294,18.942563569354228,196416,192,0.004902199696516618,0.018402110164364178,0.4395322259515524,0.7617898459235827,0.4346300270408392,1.1949865164975706
random_copy_bos,16,0,4.0,2.942782762812729,18.968557933898794,196416,192,0.0255028906200702,0.04393755396207174,0.41180827530721825,0.7083754042784373,0.3863053849587838,1.196626363977662
bos_repeat_only,32,-1,0.0,3.09309573156432,22.045218527754276,196416,192,0.014109092783958962,0.02463442242393891,0.45657957966128987,0.7893312399586042,0.4424704884489377,1.3907166681772878
ordinary_repeat_only,32,-1,0.0,2.810361934896788,16.61593101587778,196416,192,0.22366043971851468,0.3372635571286082,0.14666002639569342,0.2845094285827751,-0.07700041204225272,1.0482115290430372
selected_copy_bos,32,-1,4.0,3.0888277055697473,21.95132946502586,196416,192,0.0027552940882742405,0.009766385114441315,0.4739857117335002,0.8321731972197691,0.47123041686912376,1.3847937019643848
random_copy_bos,32,0,4.0,3.0919470614585243,22.019910382393434,196416,192,0.014177212802072367,0.024807811443073053,0.4571597184985876,0.7893904522061348,0.44298250662783784,1.38912011064942
bos_repeat_only,64,-1,0.0,3.3291144148850527,27.913610875930363,196416,192,0.007721371977822855,0.013263158170351138,0.5056306043018898,0.855607649932305,0.497909227386117,1.76092261754167
ordinary_repeat_only,64,-1,0.0,2.9211074316994923,18.561832042990897,196416,192,0.16537120410551628,0.24777137480365732,0.2412356725350643,0.4520199353961895,0.07586446491768584,1.1709681707892958
selected_copy_bos,64,-1,4.0,3.325214205754623,27.80495398596331,196416,192,0.0014554303391681362,0.004821990131555746,0.5162233710289001,0.8862613439559937,0.5147679466754198,1.7540680269283246
random_copy_bos,64,0,4.0,3.3293358488011413,27.919792580493063,196416,192,0.007750850937251623,0.013334924587979913,0.5061676589151224,0.8558576727906863,0.49841680750250816,1.761312588707629
