variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
"duplicate_0,32",0 32,0,10.844022750854492,51227.03515625,0.03478948026895523,0.0351027250289917,1,0.03122965432703495,0.032293032854795456,0.0035598259419202805,0.0349286 0.0348513 0.034561 0.034817,0.0312455 0.0311949 0.0311415 0.0313367,0.03478948026895523,0.0351027250289917,0.0349286 0.0348513 0.034561 0.034817,0.014118791557848454,0.014462023973464966,0.0141252 0.0141896 0.0140874 0.0140729,0.048908271826803684,0.03478948026895523,0.0351027250289917
"duplicate_0,32",0 32,1000,6.057685852050781,427.3852844238281,0.039809733629226685,0.083077572286129,1,0.018730532377958298,0.03006749600172043,0.021079201251268387,0.0506991 0.0302353 0.0306768 0.0476277,0.0282106 0.0101329 0.0147368 0.0218419,0.039809733629226685,0.083077572286129,0.0506991 0.0302353 0.0306768 0.0476277,0.010874371975660324,0.021493365988135338,0.0173921 0.00241102 0.00787949 0.0158149,0.05068410560488701,0.039809733629226685,0.083077572286129
"duplicate_0,32",0 32,2000,5.766173839569092,319.3136291503906,0.042254507541656494,0.0866796001791954,1,0.016445860266685486,0.02814195118844509,0.02580864727497101,0.0600341 0.02753 0.0325327 0.0489212,0.0265641 0.00943734 0.0121404 0.0176417,0.042254507541656494,0.0866796001791954,0.0600341 0.02753 0.0325327 0.0489212,0.009518619626760483,0.03119792602956295,0.0211839 0.000981341 0.00560241 0.0103069,0.05177312716841698,0.042254507541656494,0.0866796001791954
"duplicate_0,32",0 32,3000,5.681519508361816,293.3949279785156,0.04473191127181053,0.08788957446813583,1,0.014734040945768356,0.026154665276408195,0.029997870326042175,0.069466 0.0239927 0.0289658 0.056503,0.0254649 0.00886473 0.0104375 0.014169,0.04473191127181053,0.08788957446813583,0.069466 0.0239927 0.0289658 0.056503,0.009615335613489151,0.03187602758407593,0.0227245 0.000727344 0.00496904 0.0100405,0.05434724688529968,0.04473191127181053,0.08788957446813583
"duplicate_0,32",0 32,4000,5.694922924041748,297.3538818359375,0.04757208749651909,0.09880481660366058,1,0.014229388907551765,0.024581782519817352,0.03334269858896732,0.0783448 0.0200004 0.0296167 0.0623266,0.0241088 0.00869669 0.0105184 0.0135936,0.04757208749651909,0.09880481660366058,0.0783448 0.0200004 0.0296167 0.0623266,0.009412899613380432,0.03231053426861763,0.0241967 0.000518089 0.00370744 0.00922939,0.05698498710989952,0.04757208749651909,0.09880481660366058
"duplicate_0,32",0 32,5000,5.7310099601745605,308.2804870605469,0.05000460892915726,0.11492471396923065,1,0.01394916046410799,0.02456548623740673,0.03605544846504927,0.0889407 0.0207496 0.0304708 0.0598573,0.0231933 0.00835245 0.0105253 0.0137257,0.05000460892915726,0.11492471396923065,0.0889407 0.0207496 0.0304708 0.0598573,0.00873060617595911,0.032693006098270416,0.0243293 0.000490746 0.00288655 0.00721579,0.05873521510511637,0.05000460892915726,0.11492471396923065
"duplicate_0,32",0 32,6000,5.84231424331665,344.57586669921875,0.05191837623715401,0.12376804649829865,1,0.014096928760409355,0.0247812382876873,0.03782144747674465,0.0941197 0.0208883 0.0314974 0.061168,0.022523 0.00933537 0.0105798 0.0139496,0.05191837623715401,0.12376804649829865,0.0941197 0.0208883 0.0314974 0.061168,0.008348853327333927,0.032312244176864624,0.0236226 0.000511662 0.00269845 0.00656268,0.060267229564487934,0.05191837623715401,0.12376804649829865
"duplicate_0,32",0 32,7000,5.909106731414795,368.3769836425781,0.056750934571027756,0.13845978677272797,1,0.013544345274567604,0.02447323314845562,0.04320658929646015,0.103401 0.0228373 0.0349107 0.0658552,0.0216115 0.00865406 0.0104289 0.013483,0.056750934571027756,0.13845978677272797,0.103401 0.0228373 0.0349107 0.0658552,0.008264733478426933,0.03311832621693611,0.0238331 0.000503053 0.00254987 0.00617289,0.06501566804945469,0.056750934571027756,0.13845978677272797
"duplicate_0,32",0 32,8000,5.9973344802856445,402.3548889160156,0.05747167766094208,0.14776407182216644,1,0.013586247339844704,0.023649780079722404,0.043885430321097374,0.109595 0.0221198 0.0332652 0.0649066,0.0208339 0.00895026 0.01086 0.0137009,0.05747167766094208,0.14776407182216644,0.109595 0.0221198 0.0332652 0.0649066,0.008155031129717827,0.03297227993607521,0.0237298 0.000477685 0.00252502 0.00588766,0.0656267087906599,0.05747167766094208,0.14776407182216644
"duplicate_0,32",0 32,9000,6.158159255981445,472.5574035644531,0.059008050709962845,0.15187279880046844,1,0.012579354457557201,0.023218601942062378,0.04642869625240564,0.113459 0.0220387 0.0345008 0.066034,0.0199094 0.00812467 0.00990937 0.0123739,0.059008050709962845,0.15187279880046844,0.113459 0.0220387 0.0345008 0.066034,0.008096261881291866,0.03087504580616951,0.0226318 0.00051982 0.00292251 0.00631087,0.06710431259125471,0.059008050709962845,0.15187279880046844
