variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
single_32,32,0,10.859972953796387,52050.671875,0.034895703196525574,0.03545304015278816,1,0.03126191720366478,0.03151413053274155,0.003633785992860794,0.0348822 0.0350614 0.034859 0.0347803,0.0313172 0.0312364 0.0312443 0.0312496,0.014147717505693436,0.01445416547358036,0.0140901 0.014074 0.0141413 0.0142855,0.014147717505693436,0.014147717505693436,0.01445416547358036
single_32,32,1000,6.062507152557373,429.4508056640625,0.02662576362490654,0.03571085259318352,1,0.02339915558695793,0.03197672590613365,0.0032266080379486084,0.0336704 0.017535 0.0224924 0.0328053,0.028963 0.0149682 0.0189524 0.030713,0.010701674968004227,0.01763809844851494,0.0118928 0.00331576 0.0135574 0.0140407,0.010701674968004227,0.010701674968004227,0.01763809844851494
single_32,32,2000,5.758074760437012,316.7379455566406,0.022724352777004242,0.037135347723960876,1,0.020442631095647812,0.030432196334004402,0.00228172168135643,0.0336679 0.0138165 0.0168072 0.0266058,0.0283922 0.0116972 0.0148026 0.0268785,0.008049155585467815,0.01431618258357048,0.0101709 0.00105472 0.00748707 0.0134839,0.008049155585467815,0.008049155585467815,0.01431618258357048
single_32,32,3000,5.644811153411865,282.82012939453125,0.02159753255546093,0.03950102999806404,1,0.01955266296863556,0.031021706759929657,0.002044869586825371,0.0338676 0.0130483 0.0161312 0.023343,0.0283136 0.0110809 0.0147529 0.0240633,0.00701464107260108,0.014957488514482975,0.00953671 0.000557175 0.00504063 0.0129241,0.00701464107260108,0.00701464107260108,0.014957488514482975
single_32,32,4000,5.668768882751465,289.67767333984375,0.021797459572553635,0.04198431223630905,1,0.019187288358807564,0.0319632962346077,0.002610171213746071,0.0347631 0.0129894 0.0167248 0.0227125,0.0279541 0.0106319 0.0151372 0.023026,0.006600826047360897,0.014290351420640945,0.00890937 0.000508417 0.00376514 0.0132204,0.006600826047360897,0.006600826047360897,0.014290351420640945
single_32,32,5000,5.70703125,300.9761962890625,0.021269842982292175,0.042655255645513535,1,0.018365703523159027,0.03335340693593025,0.002904139459133148,0.0350079 0.0130984 0.016131 0.020842,0.027669 0.0107083 0.0141844 0.0209011,0.005937897600233555,0.013633974827826023,0.00831594 0.000440015 0.00325037 0.0117453,0.005937897600233555,0.005937897600233555,0.013633974827826023
single_32,32,6000,5.7985358238220215,329.8162841796875,0.021632058545947075,0.044422853738069534,1,0.01847677491605282,0.03369006887078285,0.0031552836298942566,0.0357216 0.0130502 0.0170801 0.0206763,0.02748 0.0113017 0.0148429 0.0202825,0.005557551048696041,0.014423584565520287,0.00806369 0.000435113 0.00271094 0.0110205,0.005557551048696041,0.005557551048696041,0.014423584565520287
single_32,32,7000,5.875171661376953,356.0857849121094,0.022341810166835785,0.04464499279856682,1,0.018651723861694336,0.03385672718286514,0.003690086305141449,0.0359692 0.0128393 0.018138 0.0224207,0.0277336 0.0111875 0.0147205 0.0209653,0.005540072452276945,0.016013721004128456,0.00827619 0.000394093 0.0029858 0.0105042,0.005540072452276945,0.005540072452276945,0.016013721004128456
single_32,32,8000,5.986868381500244,398.165771484375,0.022431552410125732,0.04455716535449028,1,0.018312150612473488,0.03407474607229233,0.004119401797652245,0.0356422 0.0132203 0.0179743 0.0228894,0.0272521 0.0111338 0.0145221 0.0203406,0.005548614077270031,0.01864040270447731,0.00870684 0.000446864 0.00310903 0.00993172,0.005548614077270031,0.005548614077270031,0.01864040270447731
single_32,32,9000,6.069301605224609,432.37860107421875,0.02241886779665947,0.04497300460934639,1,0.01827918365597725,0.034155331552028656,0.0041396841406822205,0.0361253 0.0124948 0.0177463 0.0233091,0.0276058 0.0111027 0.0140653 0.0203429,0.0054032932966947556,0.020541997626423836,0.00904662 0.000401626 0.00271756 0.00944737,0.0054032932966947556,0.0054032932966947556,0.020541997626423836
single_32,32,10000,6.169989585876465,478.1811218261719,0.02216838113963604,0.0437064953148365,1,0.017810845747590065,0.032965973019599915,0.004357535392045975,0.0352996 0.0124005 0.0180073 0.0229661,0.0265937 0.0106375 0.0139303 0.0200819,0.005408205557614565,0.022065505385398865,0.00947418 0.000462576 0.00276002 0.00893605,0.005408205557614565,0.005408205557614565,0.022065505385398865
