variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
"duplicate_0,32",0 32,0,10.855060577392578,51795.60546875,0.0348542258143425,0.035357676446437836,1,0.031211210414767265,0.03171071782708168,0.0036430153995752335,0.0350303 0.0345482 0.0349644 0.034874,0.0312051 0.0313112 0.0310257 0.0313028,0.0348542258143425,0.035357676446437836,0.0350303 0.0345482 0.0349644 0.034874,0.014227114617824554,0.014615526422858238,0.0141489 0.0142213 0.0142548 0.0142835,0.04908134043216705,0.0348542258143425,0.035357676446437836
"duplicate_0,32",0 32,1000,6.073362827301025,434.13818359375,0.04318400099873543,0.0915108174085617,1,0.021380461752414703,0.031063664704561234,0.021803539246320724,0.0499806 0.0430362 0.0208886 0.0588307,0.0280108 0.0151111 0.0139534 0.0284465,0.04318400099873543,0.0915108174085617,0.0499806 0.0430362 0.0208886 0.0588307,0.013978740200400352,0.031586114317178726,0.0189198 0.0195823 0.00510818 0.0123046,0.05716274119913578,0.04318400099873543,0.0915108174085617
"duplicate_0,32",0 32,2000,5.763514518737793,318.4656066894531,0.04513409361243248,0.09243787825107574,1,0.017707526683807373,0.029809514060616493,0.027426566928625107,0.0569803 0.0400319 0.0263007 0.0572234,0.0277898 0.0109214 0.0109461 0.0211728,0.04513409361243248,0.09243787825107574,0.0569803 0.0400319 0.0263007 0.0572234,0.011808346956968307,0.02782456949353218,0.0224381 0.00934468 0.00461415 0.0108365,0.05694244056940079,0.04513409361243248,0.09243787825107574
"duplicate_0,32",0 32,3000,5.675235271453857,291.55694580078125,0.047405119985342026,0.0904020443558693,1,0.016159767284989357,0.02948855794966221,0.03124535270035267,0.0669083 0.0377753 0.0248671 0.0600698,0.0270499 0.00895492 0.00919391 0.0194403,0.047405119985342026,0.0904020443558693,0.0669083 0.0377753 0.0248671 0.0600698,0.010667338036000729,0.03443639352917671,0.0245924 0.00645187 0.00400779 0.00761726,0.058072458021342754,0.047405119985342026,0.0904020443558693
"duplicate_0,32",0 32,4000,5.679567813873291,292.8228454589844,0.04906134679913521,0.10113450139760971,1,0.01578613370656967,0.02813214808702469,0.033275213092565536,0.0756645 0.0341457 0.0236993 0.0627358,0.0258866 0.00918425 0.00923188 0.0188418,0.04906134679913521,0.10113450139760971,0.0756645 0.0341457 0.0236993 0.0627358,0.00880446471273899,0.032862771302461624,0.0234392 0.0037572 0.00244528 0.00557613,0.0578658115118742,0.04906134679913521,0.10113450139760971
"duplicate_0,32",0 32,5000,5.7156500816345215,303.58148193359375,0.056216299533843994,0.1202559620141983,1,0.01589713618159294,0.02751537598669529,0.04031916335225105,0.084964 0.0370239 0.0244741 0.0784032,0.0249912 0.00932156 0.00978099 0.0194948,0.056216299533843994,0.1202559620141983,0.084964 0.0370239 0.0244741 0.0784032,0.008394741453230381,0.033760856837034225,0.0225858 0.00381273 0.00236649 0.00481398,0.06461104098707438,0.056216299533843994,0.1202559620141983
"duplicate_0,32",0 32,6000,5.802800178527832,331.22576904296875,0.0580003596842289,0.1406136453151703,1,0.015243337489664555,0.026991313323378563,0.04275702219456434,0.0927465 0.0364936 0.0231872 0.0795741,0.0240711 0.00952362 0.00929762 0.0180811,0.0580003596842289,0.1406136453151703,0.0927465 0.0364936 0.0231872 0.0795741,0.007750708609819412,0.033303868025541306,0.0211277 0.00334044 0.00256735 0.00396739,0.06575106829404831,0.0580003596842289,0.1406136453151703
"duplicate_0,32",0 32,7000,5.8900532722473145,361.4245300292969,0.05911686271429062,0.14872856438159943,1,0.015181492082774639,0.027148721739649773,0.04393537063151598,0.0974436 0.038439 0.024402 0.0761829,0.0231357 0.00940272 0.0095155 0.018672,0.05911686271429062,0.14872856438159943,0.0974436 0.038439 0.024402 0.0761829,0.006921096239238977,0.030581191182136536,0.0191492 0.00268715 0.00199006 0.00385801,0.0660379589535296,0.05911686271429062,0.14872856438159943
"duplicate_0,32",0 32,8000,6.017133712768555,410.40057373046875,0.06216825172305107,0.15850545465946198,1,0.014453573152422905,0.026017701253294945,0.047714678570628166,0.102591 0.0371698 0.0240119 0.0849008,0.0218411 0.00886334 0.00878972 0.0183201,0.06216825172305107,0.15850545465946198,0.102591 0.0371698 0.0240119 0.0849008,0.006686932872980833,0.029464462772011757,0.0182762 0.00238762 0.00222142 0.00386249,0.0688551845960319,0.06216825172305107,0.15850545465946198
"duplicate_0,32",0 32,9000,6.102662086486816,447.0462646484375,0.06138809025287628,0.16747847199440002,1,0.013923048973083496,0.026257701218128204,0.047465041279792786,0.107582 0.0380589 0.0246885 0.0752224,0.0210612 0.00830068 0.00843236 0.0178979,0.06138809025287628,0.16747847199440002,0.107582 0.0380589 0.0246885 0.0752224,0.006164902821183205,0.02724294550716877,0.0170447 0.00246069 0.00186996 0.00328428,0.06755299307405949,0.06138809025287628,0.16747847199440002
"duplicate_0,32",0 32,10000,6.234967231750488,510.2839050292969,0.0643705353140831,0.17399001121520996,1,0.013590586371719837,0.025532662868499756,0.05077994894236326,0.111847 0.0406117 0.0259789 0.0790442,0.0203545 0.00859492 0.00922824 0.0161847,0.0643705353140831,0.17399001121520996,0.111847 0.0406117 0.0259789 0.0790442,0.005865863990038633,0.025372929871082306,0.0157081 0.00241901 0.0018053 0.00353104,0.07023639930412173,0.0643705353140831,0.17399001121520996
