model,control,metric,n_pairs,mean_diff,std_diff,ci_low,ci_high,fraction_positive,sign_test_p_two_sided,normal_approx_p_two_sided
pythia_1b,bos_repeat_only,ppl_ratio_vs_clean,7,-0.002213714366394916,0.0032879341098073947,-0.004423097103631456,-4.09113111405901e-05,0.14285714285714285,0.125,0.07485646979369331
pythia_1b,bos_repeat_only,inserted_attention_mean,7,0.062229005398140066,0.053272419212901614,0.028791198462602623,0.10066553497953076,1.0,0.015625,0.0019976851746603685
pythia_1b,bos_repeat_only,inserted_minus_bos_mean,7,0.1199633848962202,0.10912821440104022,0.0510157137399628,0.19749151604143358,1.0,0.015625,0.0036323241121816174
pythia_1b,ordinary_repeat_only,ppl_ratio_vs_clean,7,0.18506978795182924,0.20946794320712922,0.058887159533775116,0.34402926067238937,1.0,0.015625,0.019408907772143325
pythia_1b,ordinary_repeat_only,inserted_attention_mean,7,0.3531309479322296,0.04441964381435432,0.321316062750633,0.3823585393852444,1.0,0.015625,0.0
pythia_1b,ordinary_repeat_only,inserted_minus_bos_mean,7,0.6364684673164793,0.10534766400159476,0.5596809248700516,0.6999559079163841,1.0,0.015625,0.0
pythia_1b,random_copy_bos,ppl_ratio_vs_clean,7,-0.0025510932111114026,0.002720837122961803,-0.004467859060065653,-0.0007178435429568657,0.14285714285714285,0.125,0.013112771420738856
pythia_1b,random_copy_bos,inserted_attention_mean,7,0.062302294719432084,0.05373896492775072,0.02811112769302868,0.10098070726685582,1.0,0.015625,0.002159636181253699
pythia_1b,random_copy_bos,inserted_minus_bos_mean,7,0.1203796151208475,0.11000321552174393,0.05062949630830969,0.2000584988310861,1.0,0.015625,0.003787720303763731
llama3_2_3b,bos_repeat_only,ppl_ratio_vs_clean,4,0.9153749333598136,0.9309589846063973,0.2932719454356306,1.787680288267818,1.0,0.125,0.04923852426048714
llama3_2_3b,bos_repeat_only,inserted_attention_mean,4,0.03469580349822837,0.021366373261725854,0.019259139740218756,0.05379185833347336,1.0,0.125,0.0011634116742731404
