condition,count,control_id,scale,mean_nll,ppl,token_count,num_windows,bos_attention_mean,bos_attention_max_layer,inserted_attention_mean,inserted_attention_max_layer,inserted_minus_bos_mean,ppl_ratio_vs_clean
clean,0,-1,0.0,1.8626698241943875,6.440909933741188,196416,192,0.4618958335680266,0.7290546974788109,nan,nan,nan,1.0
bos_repeat_only,8,-1,0.0,2.0618641963025266,7.860609879970639,196416,192,0.06922454829327762,0.1040308146039024,0.5529594020918012,0.831066157668829,0.4837348568253219,1.2204191582919437
ordinary_repeat_only,8,-1,0.0,1.8563996209660116,6.400650468895679,196416,192,0.46042921968425315,0.7283331186821064,0.006038387394558716,0.016377531142400887,-0.4543908340856433,0.993749413474235
selected_copy_bos,8,-1,4.0,2.2850674330586136,9.826348822432697,196416,192,0.046024605728841074,0.19148706016130745,0.5941043815885981,0.831066157668829,0.5480797762672106,1.525615002153133
random_copy_bos,8,0,4.0,2.0618331237350467,7.860365634434398,196416,192,0.06922181202874829,0.1040308146039024,0.5529583090295395,0.831066157668829,0.48373649797091883,1.2203812373244478
bos_repeat_only,16,-1,0.0,2.3736869703872694,10.736906050966034,196416,192,0.037617670003479965,0.056519898042703666,0.6001793782537183,0.9016817326967915,0.562561707260708,1.6669859012808035
ordinary_repeat_only,16,-1,0.0,1.8567647216140584,6.402987777180215,196416,192,0.46050899056717753,0.7271691424151262,0.006976768175566879,0.02608789297907303,-0.45353222203751403,0.9941122982697965
selected_copy_bos,16,-1,4.0,2.6638259079760083,14.351090150211453,196416,192,0.027055043280900765,0.10435213517242421,0.6240037505825361,0.9016817326967915,0.5969487084075809,2.2281153280893116
random_copy_bos,16,0,4.0,2.373677231660298,10.736801487678644,196416,192,0.037616529987038426,0.056519898042703666,0.6001785583794117,0.9016817326967915,0.5625620263939103,1.6669696670392964
bos_repeat_only,32,-1,0.0,3.1417050173632988,23.14329295441326,196416,192,0.020041616846962523,0.029658464821598802,0.6380048105493188,0.9436223075414697,0.6179631960888704,3.593171336424903
ordinary_repeat_only,32,-1,0.0,1.8568272707166327,6.403388290845227,196416,192,0.45810005099823076,0.7238913048058748,0.011860063671823204,0.05611070765492817,-0.4462399883195758,0.9941744810466295
selected_copy_bos,32,-1,4.0,3.5307496979167463,34.1495598742194,196416,192,0.016255697676873144,0.06374276493443176,0.6530342645322283,0.9436223075414697,0.6367785666758815,5.301977550613521
random_copy_bos,32,0,4.0,3.1417739249161376,23.144887757041722,196416,192,0.02004192133123676,0.029658464821598802,0.6379949407031139,0.9436223075414697,0.6179530210793018,3.593418941599462
bos_repeat_only,64,-1,0.0,4.586950799936424,98.19455835614043,196416,192,0.011053499823901802,0.015266493806848302,0.7014243124673764,0.9676056215539575,0.6903708086659511,15.245448137962759
ordinary_repeat_only,64,-1,0.0,1.8589107765752122,6.416743696065158,196416,192,0.45263341364140314,0.7160451365634799,0.02168364677830444,0.10103222238831222,-0.43094976475307095,0.9962480087558074
selected_copy_bos,64,-1,4.0,4.759302911792605,116.66457204948324,196416,192,0.010132066143948274,0.037094364214378096,0.7117683279017607,0.9676056215539575,0.7016362613067031,18.113057510450062
random_copy_bos,64,0,4.0,4.586876986973757,98.18731059236319,196416,192,0.01105348409813208,0.015266493806848302,0.701428140203158,0.9676056215539575,0.6903746550281843,15.244322867798791
