score,layer,neuron,gap,source_mean,control_mean
69.50000000010431,3,2096,69.50000000010431,69.5,-1.0431006292239895e-10
68.00000000003057,3,6492,68.00000000003057,68.0,-3.056897930181854e-11
66.00000000053896,3,5870,66.00000000053896,66.0,-5.389614038001874e-10
64.50000000424512,3,7969,64.50000000424512,64.5,-4.245119418799586e-09
64.00000000031707,3,2939,64.00000000031707,64.0,-3.170695898732132e-10
62.74993971379357,3,6086,62.74993971379357,62.75,6.028620642780591e-05
61.25000000170185,3,5533,61.25000000170185,61.25,-1.7018486196694137e-09
61.00000000095074,3,6861,61.00000000095074,61.0,-9.507393529993697e-10
60.25000000564597,3,6017,60.25000000564597,60.25,-5.645972411653513e-09
58.50000000761664,4,1785,58.50000000761664,58.5,-7.616640282530821e-09
58.25000009271776,3,5183,58.25000009271776,58.25,-9.271776258584954e-08
58.25000000221493,3,4603,58.25000000221493,58.25,-2.2149352103704815e-09
57.50000000153262,3,4999,57.50000000153262,57.5,-1.532616815689081e-09
55.00000006785148,3,2066,55.00000006785148,55.0,-6.785148398300682e-08
54.000000121839214,3,1777,54.000000121839214,54.0,-1.2183921750296245e-07
52.50000000132519,4,1775,52.50000000132519,52.5,-1.3251915685140608e-09
52.25000061726489,3,6439,52.25000061726489,52.25,-6.172648898006315e-07
52.25000001139425,5,4858,52.25000001139425,52.25,-1.1394249197033726e-08
51.5000003369929,3,3121,51.5000003369929,51.5,-3.3699289723986785e-07
50.25000000029357,3,5873,50.25000000029357,50.25,-2.9357030936758075e-10
49.7500003917805,3,4469,49.7500003917805,49.75,-3.917805024560173e-07
49.000001389584305,3,6556,49.000001389584305,49.0,-1.3895843054904426e-06
49.0000000616586,5,5763,49.0000000616586,49.0,-6.165859853450067e-08
48.50000007275801,3,718,48.50000007275801,48.5,-7.27580114197667e-08
46.00001843104779,3,6806,46.00001843104779,46.0,-1.8431047791408472e-05
45.75000111185504,3,6139,45.75000111185504,45.75,-1.1118550431884584e-06
44.50000014890269,4,7414,44.50000014890269,44.5,-1.4890269305782788e-07
44.00000149519694,5,226,44.00000149519694,44.0,-1.4951969426351064e-06
43.000001727439106,3,6927,43.000001727439106,43.0,-1.7274391085441104e-06
42.00000016868731,3,1930,42.00000016868731,42.0,-1.6868730915031184e-07
41.000000369773524,3,4038,41.000000369773524,41.0,-3.69773525835715e-07
40.00000026273665,3,8006,40.00000026273665,40.0,-2.627366502156603e-07
39.24999539254991,3,7557,39.24999539254991,39.25,4.607450088075492e-06
38.250000651397364,3,1351,38.250000651397364,38.25,-6.513973671391257e-07
37.000000469279136,3,32,37.000000469279136,37.0,-4.6927913809914365e-07
36.7500083234321,3,7127,36.7500083234321,36.75,-8.323432096778137e-06
32.7524164709161,4,4126,32.7524164709161,32.75,-0.002416470916101364
32.250007480968826,3,2647,32.250007480968826,32.25,-7.4809688223773504e-06
31.62502366717133,3,4332,31.62502366717133,31.625,-2.3667171328576176e-05
29.62500821128137,3,6133,29.62500821128137,29.625,-8.211281368047371e-06
28.500008071251973,3,794,28.500008071251973,28.5,-8.071251972014029e-06
28.375010000589715,3,981,28.375010000589715,28.375,-1.0000589715165767e-05
27.250001421664933,3,4208,27.250001421664933,27.25,-1.421664934332245e-06
20.62509265285194,3,3220,20.62509265285194,20.625,-9.265285194009354e-05
19.25868741629519,5,7365,19.25868741629519,19.25,-0.008687416295188558
14.486074112414798,4,7848,14.486074112414798,14.4375,-0.04857411241479867
13.812645385393198,3,84,13.812645385393198,13.8125,-0.00014538539319837655
13.375051122514598,3,4424,13.375051122514598,13.375,-5.112251459781576e-05
12.812597525603671,3,5735,12.812597525603671,12.8125,-9.752560367037105e-05
11.743474444952636,5,2043,11.743474444952636,11.6875,-0.05597444495263535
11.588186524115079,3,3134,11.588186524115079,11.5625,-0.02568652411507848
7.992583350834767,3,4361,7.992583350834767,7.96875,-0.023833350834766957
7.547819068717406,6,6680,7.547819068717406,7.46875,-0.07906906871740578
6.449679052742619,4,3510,6.449679052742619,6.46875,0.019070947257381295
6.083740699258819,1,6909,6.083740699258819,6.03125,-0.052490699258819586
5.718751709934534,2,6186,5.718751709934534,5.71875,-1.7099345343247538e-06
5.277274085029883,4,2816,5.277274085029883,5.375,0.09772591497011679
4.843980944367318,3,1185,4.843980944367318,4.8125,-0.03148094436731806
4.335134126057896,5,7798,4.335134126057896,4.3125,-0.0226341260578959
4.308898647016213,5,3881,4.308898647016213,4.28125,-0.027648647016212814
4.269212329471887,4,4880,4.269212329471887,4.25,-0.019212329471886672
4.195651964295148,4,2629,4.195651964295148,4.15625,-0.039401964295148174
4.1425023824436265,4,5203,4.1425023824436265,4.125,-0.017502382443626053
3.940832283133208,4,330,3.940832283133208,3.890625,-0.05020728313320789
3.6542799477802292,4,2450,3.6542799477802292,3.796875,0.14259505221977073
3.5861714383360526,4,2141,3.5861714383360526,3.53125,-0.054921438336052716
3.5581070226426545,5,1199,3.5581070226426545,3.484375,-0.07373202264265459
3.327499623049323,2,7796,3.327499623049323,3.28125,-0.04624962304932277
3.227874414882624,4,1526,3.227874414882624,3.171875,-0.055999414882624256
3.1711479797834863,3,7091,3.1711479797834863,3.125,-0.046147979783486115
3.07465253159225,3,3540,3.07465253159225,3.015625,-0.05902753159225024
3.0097875940002465,4,162,3.0097875940002465,2.953125,-0.05666259400024673
2.9814746997611397,1,3462,2.9814746997611397,3.0625,0.0810253002388605
2.9733073708463826,2,5443,2.9733073708463826,2.890625,-0.0826823708463828
2.9162267457915947,4,5218,2.9162267457915947,2.859375,-0.05685174579159489
2.8283721993846225,4,4826,2.8283721993846225,2.78125,-0.047122199384622275
2.796896033297019,2,4469,2.796896033297019,2.796875,-2.103329701931785e-05
2.7531892974467764,2,1527,2.7531892974467764,2.75,-0.0031892974467765773
2.731011838250259,4,5004,2.731011838250259,2.703125,-0.027886838250259123
2.640602184741786,2,3090,2.640602184741786,2.546875,-0.09372718474178603
2.6089077478630665,1,7352,2.6089077478630665,2.609375,0.0004672521369336929
2.5322867581577113,4,648,2.5322867581577113,2.5,-0.0322867581577114
2.46622544448556,4,3065,2.46622544448556,2.4375,-0.028725444485559942
2.4437090117027545,4,2332,2.4437090117027545,2.40625,-0.03745901170275461
2.402938329357658,5,3135,2.402938329357658,2.40625,0.0033116706423422745
2.3996090667225776,1,8147,2.3996090667225776,2.34375,-0.05585906672257773
2.392204351877433,4,6537,2.392204351877433,2.34375,-0.04845435187743304
2.281697984106833,4,3257,2.281697984106833,2.234375,-0.04732298410683324
2.266419880066312,4,1469,2.266419880066312,2.203125,-0.06329488006631187
2.2159860273155005,4,4829,2.2159860273155005,2.234375,0.018388972684499426
2.209636574625634,4,479,2.209636574625634,2.265625,0.05598842537436609
2.181773378150738,1,5058,2.181773378150738,2.125,-0.056773378150737894
2.1797000322898783,4,3228,2.1797000322898783,2.125,-0.05470003228987825
2.1450988140638496,5,1119,2.1450988140638496,2.109375,-0.0357238140638498
2.1250104668690106,2,449,2.1250104668690106,2.125,-1.0466869010791211e-05
2.1018498812607316,4,558,2.1018498812607316,2.03125,-0.07059988126073138
2.0937565001757816,2,1760,2.0937565001757816,2.09375,-6.500175781502504e-06
2.0721216266751763,4,6390,2.0721216266751763,2.0,-0.07212162667517627
2.0552570674075272,2,7587,2.0552570674075272,1.9921875,-0.06306956740752712
2.0551569040922373,2,3756,2.0551569040922373,1.9921875,-0.06296940409223732
2.053485355630926,4,5848,2.053485355630926,1.9921875,-0.06129785563092577
2.0481999212742705,2,980,2.0481999212742705,1.9921875,-0.05601242127427048
2.0303581887252995,3,5050,2.0303581887252995,1.9921875,-0.03817068872529966
2.0135520377932874,1,520,2.0135520377932874,1.9140625,-0.0994895377932872
2.00783347853169,2,3038,2.00783347853169,1.9375,-0.07033347853169006
1.9982038199793928,4,3199,1.9982038199793928,1.96875,-0.02945381997939279
1.9974845125086185,2,4100,1.9974845125086185,1.9453125,-0.05217201250861843
1.9744332775131404,4,5843,1.9744332775131404,1.9296875,-0.04474577751314042
1.9717088363191322,4,7031,1.9717088363191322,1.9453125,-0.026396336319132248
1.9578298706418111,2,5317,1.9578298706418111,1.90625,-0.05157987064181122
1.9501459167292479,1,1893,1.9501459167292479,1.859375,-0.09077091672924781
1.9418600807313366,2,2639,1.9418600807313366,1.875,-0.06686008073133655
1.9216762722157434,4,6149,1.9216762722157434,1.8515625,-0.0701137722157434
