step,n_seeds,seeds,selected_dummy_minus_bos_mean,selected_dummy_minus_bos_std,selected_positive_seeds,random_dummy_minus_bos_mean,random_dummy_minus_bos_std,dummy_only_dummy_minus_bos_mean,dummy_only_dummy_minus_bos_std,selected_minus_random_mean,selected_minus_random_std,selected_beats_random_seeds,clean_max_head_bos_attention_mean,clean_max_head_bos_attention_std
0,3,0 1 2,-0.0001045855072637399,9.751285719473361e-05,1,9.978165229161581e-05,0.0001453684653743199,-6.265317400296529e-06,0.0001686769303912802,-0.0002043671595553557,0.00020851948545812685,1,0.03559292356173197,0.00021278663122494172
1000,3,0 1 2,0.006882984967281421,0.021449266002637978,1,-0.0011432816895345845,0.014646402745655934,-0.019347763309876125,0.004629644126936569,0.008026266656816005,0.007252207661554837,3,0.07544063776731491,0.005050288636519182
2000,3,0 1 2,0.017670016114910442,0.02341252773135707,2,-0.002748348967482647,0.02319107845682798,-0.030209777876734734,0.0011125814240467366,0.02041836508239309,0.004034843691665011,3,0.08520031968752544,0.004259534129399528
3000,3,0 1 2,0.013268669756750265,0.03494228880965887,1,-0.01901817551503579,0.007093208386485853,-0.04233243937293688,0.003463121291972056,0.032286845271786054,0.02790120477742431,3,0.10801557699839275,0.001461942120403669
4000,3,0 1 2,0.013269515397648016,0.027884666976599453,1,-0.025260176199177902,0.009815440342430159,-0.048784710466861725,0.002677958949758292,0.03852969159682592,0.018818336804984778,3,0.1391699810822805,0.01285268332344601
5000,3,0 1 2,0.003253532573580742,0.017764833343411453,1,-0.027918142390747868,0.016993310101428433,-0.05701114982366562,0.0037954297004635026,0.03117167496432861,0.0034588881341346403,3,0.1806878944238027,0.030912049262626185
6000,3,0 1 2,0.0084855230525136,0.014025985212459,2,-0.03204655249913533,0.008440939122005825,-0.061011058588822685,0.0050528591533701706,0.040532075551648936,0.01031333704185166,3,0.22002675632635751,0.04548085699029456
7000,3,0 1 2,0.011706915373603502,0.012782800912840932,2,-0.036968387725452585,0.014260922391513723,-0.06661639362573624,0.0067552741507055794,0.04867530309905608,0.011539104474691633,3,0.22601803640524545,0.044544225006356734
8000,3,0 1 2,0.006760455667972565,0.017460160480461683,2,-0.04406428746879101,0.0065835376594993245,-0.06801826258500417,0.006045830580964642,0.05082474313676357,0.014828442163390488,3,0.24683625996112823,0.047684054551982
9000,3,0 1 2,0.0049031587938467664,0.009341634156125234,1,-0.04827588237822056,0.0020871035841993624,-0.07238001624743144,0.008389350748881204,0.05317904117206732,0.007990001283600176,3,0.26114924748738605,0.044186908616806075
10000,3,0 1 2,0.008869020268321037,0.0055791226642880635,3,-0.046060476017495,0.01103964804612195,-0.06996771196524303,0.006779633317700593,0.05492949628581604,0.00550117565078911,3,0.24327747027079263,0.024997450269867705
